r_fighter,b_fighter,date,referee,winner,r_record,r_losses,r_draws,r_wins,r_winsbydecisionmajority,r_winsbydecisionmajority,r_winsbydecisionunanimous,r_winsbydecisionunanimous,r_winsbydecisionsplit,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,b_record,b_losses,b_draws,b_wins,b_winsbydecisionmajority,b_winsbydecisionmajority,b_winsbydecisionunanimous,b_winsbydecisionunanimous,b_winsbydecisionsplit,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds)
Ross Pearson,Dennis Siver,2010-03-31,Dan Miragliotta,Red,2-0-0,0,0,2,0,0,1,1,0,0,0,1,4-3-0,3,0,4,0,0,0,0,0,3,1,0,0.0,125.5,66.5,3.5,0.0,0.0,140.0,1.14,114.39,27.97,1.23,0.05,0.5,40.05
Roy Nelson,Stefan Struve,2010-03-31,Dan Miragliotta,Red,1-0-0,0,0,1,0,0,0,0,0,1,0,0,3-1-0,1,0,3,1,1,0,0,0,0,2,0,1.0,35.0,8.0,2.0,1.0,0.0,82.0,0.0,62.38,30.5,0.88,0.75,2.62,207.75
Yushin Okami,Lucio Linhares,2010-03-31,Dale Frye,Red,7-2-0,2,0,7,0,0,4,4,0,3,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.25,112.46,29.5,0.35,0.21,0.69,197.46,0.0,27.0,8.0,2.0,2.0,2.0,111.0
Alexander Gustafsson,Phil Davis,2010-04-10,Dan Miragliotta,Blue,1-0-0,0,0,1,0,0,0,0,0,1,0,0,1-0-0,0,0,1,0,0,1,1,0,0,0,0,1.0,23.0,6.0,0.0,0.0,0.0,5.0,0.0,103.0,48.0,4.0,3.0,1.0,645.0
Anderson Silva,Demian Maia,2010-04-10,Dan Miragliotta,Red,10-0-0,0,0,10,0,0,1,1,0,7,2,0,6-1-0,1,0,6,0,0,1,1,0,0,5,0,1.62,55.91,36.72,0.15,0.13,0.04,69.44,0.0,43.59,17.09,4.41,2.3,0.34,182.69
BJ Penn,Frankie Edgar,2010-04-10,Herb Dean,Blue,11-5-0,5,0,11,0,0,1,1,0,5,4,1,6-1-0,1,0,6,0,0,4,4,0,1,1,0,0.13,108.01,60.92,1.01,0.31,0.35,130.38,0.0,101.81,43.91,5.55,1.94,0.75,154.27
DaMarques Johnson,Brad Blackburn,2010-04-10,Dan Miragliotta,Red,1-1-0,1,0,1,0,0,0,0,0,0,1,0,3-1-0,1,0,3,0,0,1,1,1,1,0,0,0.0,28.5,11.5,0.0,0.0,0.5,38.0,0.62,163.38,51.5,0.88,0.0,0.25,105.62
Jon Madsen,Mostapha Al-Turk,2010-04-10,Marc Goddard,Red,1-0-0,0,0,1,0,0,0,0,1,0,0,0,0-2-0,2,0,0,0,0,0,0,0,0,0,0,0.0,100.0,26.0,1.0,0.0,0.0,0.0,0.0,17.0,5.5,4.5,0.0,0.0,48.5
Kendall Grove,Mark Munoz,2010-04-10,Marc Goddard,Blue,6-3-0,3,0,6,0,0,1,1,1,2,2,0,2-1-0,1,0,2,0,0,0,0,1,1,0,0,0.12,29.91,13.34,0.53,0.51,1.11,54.0,0.0,48.75,24.75,4.5,1.0,0.5,103.75
Matt Hughes,Renzo Gracie,2010-04-10,Herb Dean,Red,16-5-0,5,0,16,0,0,5,5,0,5,4,2,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,38.22,21.87,5.07,1.91,0.21,354.13,,,,,,,
Nick Osipczak,Rick Story,2010-04-10,Marc Goddard,Blue,2-0-0,0,0,2,0,0,0,0,0,1,1,0,2-1-0,1,0,2,0,0,0,0,1,0,1,0,0.0,65.5,30.0,0.5,0.5,1.0,193.0,0.0,117.5,33.25,3.5,2.75,2.0,258.75
Paul Kelly,Matt Veach,2010-04-10,Herb Dean,Red,3-2-0,2,0,3,0,0,3,3,0,0,0,0,1-1-0,1,0,1,0,0,0,0,0,1,0,0,0.0,96.44,27.44,2.75,1.25,0.56,241.75,0.5,35.5,9.5,6.0,2.0,0.0,102.0
Terry Etim,Rafael Dos Anjos,2010-04-10,Marc Goddard,Blue,5-2-0,2,0,5,0,0,1,1,0,1,3,0,2-2-0,2,0,2,0,0,2,2,0,0,0,0,0.16,60.95,23.02,0.27,0.12,1.33,50.14,0.0,116.25,38.38,7.88,3.5,1.62,352.25
Jason MacDonald,John Salter,2010-05-08,Dan Miragliotta,Blue,5-5-0,5,0,5,0,0,0,0,0,2,3,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,8.79,4.81,2.19,0.55,0.44,96.01,0.0,72.0,7.0,4.0,1.0,0.0,88.0
Joey Beltran,Tim Hague,2010-05-08,Mario Yamasaki,Red,1-0-0,0,0,1,0,0,0,0,0,1,0,0,1-2-0,2,0,1,0,0,0,0,0,0,1,0,0.0,49.0,22.0,0.0,0.0,0.0,84.0,0.0,36.5,17.0,0.75,0.75,0.75,138.0
