r_fighter,b_fighter,date,referee,winner,r_record,r_losses,r_draws,r_wins,r_winsbydecisionmajority,r_winsbydecisionmajority,r_winsbydecisionunanimous,r_winsbydecisionunanimous,r_winsbydecisionsplit,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,b_record,b_losses,b_draws,b_wins,b_winsbydecisionmajority,b_winsbydecisionmajority,b_winsbydecisionunanimous,b_winsbydecisionunanimous,b_winsbydecisionsplit,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds)
Vicente Luque,Alvaro Herrera,2016-07-07,Chris Tognoni,Red,1-1-0,1,0,1,0,0,0,0,0,0,1,0,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0.0,41.5,20.0,0.0,0.0,1.0,114.5,1.0,9.0,4.0,0.0,0.0,0.0,1.0
Andrew Sanchez,Khalil Rountree Jr.,2016-07-08,Herb Dean,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Cezar Ferreira,Anthony Smith,2016-07-08,Chris Tognoni,Red,5-3-0,3,0,5,0,0,3,3,1,0,1,0,1-1-0,1,0,1,0,0,1,1,0,0,0,0,0.02,43.7,18.3,3.56,1.92,0.01,257.02,0.0,60.0,31.0,2.5,1.0,0.0,120.5
Cory Hendricks,Josh Stansbury,2016-07-08,Dan Miragliotta,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Dooho Choi,Thiago Tavares,2016-07-08,Herb Dean,Red,2-0-0,0,0,2,0,0,0,0,0,2,0,0,10-7-0,7,0,10,0,0,4,4,0,1,5,0,1.0,20.5,14.0,0.0,0.0,0.0,6.5,0.0,34.57,14.53,3.44,1.88,0.69,166.86
Gray Maynard,Fernando Bruno,2016-07-08,Jason Herzog,Red,9-7-0,7,0,9,0,0,5,5,3,1,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.04,54.85,18.62,10.23,1.71,0.04,116.92,0.0,32.0,20.0,11.0,2.0,0.0,336.0
Jake Matthews,Kevin Lee,2016-07-08,Jason Herzog,Blue,4-1-0,1,0,4,0,0,0,0,0,0,3,1,5-2-0,2,0,5,0,0,3,3,1,0,1,0,0.0,94.25,39.38,3.81,0.69,1.12,175.69,0.0,113.41,43.19,3.16,1.08,0.84,181.23
Joanna Jedrzejczyk,Claudia Gadelha,2016-07-08,John McCarthy,Red,5-0-0,0,0,5,0,0,2,2,1,2,0,0,2-1-0,1,0,2,0,0,2,2,0,0,0,0,0.06,302.94,153.38,0.0,0.0,0.0,128.25,0.0,182.5,79.75,7.5,5.0,0.75,318.25
Joaquim Silva,Andrew Holbrook,2016-07-08,Dan Miragliotta,Red,1-0-0,0,0,1,0,0,0,0,1,0,0,0,1-0-0,0,0,1,0,0,0,0,1,0,0,0,0.0,162.0,49.0,0.0,0.0,0.0,9.0,0.0,39.0,20.0,3.0,0.0,2.0,203.0
John Moraga,Matheus Nicolau,2016-07-08,Chris Tognoni,Blue,5-3-0,3,0,5,0,0,0,0,1,1,3,0,1-0-0,0,0,1,0,0,0,0,0,0,1,0,0.01,71.35,38.31,2.78,0.28,0.66,131.43,2.0,77.0,46.0,4.0,3.0,3.0,397.0
Li Jingliang,Anton Zafir,2016-07-08,Chris Tognoni,Red,2-2-0,2,0,2,0,0,0,0,1,1,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.75,118.62,55.75,2.25,1.0,0.0,82.62,0.0,25.0,17.0,3.0,1.0,0.0,170.0
Ross Pearson,Will Brooks,2016-07-08,Dan Miragliotta,Blue,11-8-0,8,0,11,0,0,4,4,2,4,0,1,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.04,119.36,43.33,1.15,0.63,0.0,39.23,,,,,,,
Tatiana Suarez,Amanda Cooper,2016-07-08,John McCarthy,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Brock Lesnar,Mark Hunt,2016-07-09,Dan Miragliotta,Draw,4-3-0,3,0,4,0,0,1,1,0,2,1,0,7-5-0,5,0,7,0,0,1,1,0,6,0,0,0.05,21.31,11.11,2.05,0.59,0.14,77.33,0.87,35.07,14.84,0.15,0.1,0.0,16.05
Cain Velasquez,Travis Browne,2016-07-09,John McCarthy,Red,11-2-0,2,0,11,0,0,2,2,0,9,0,0,9-4-0,4,0,9,0,0,1,1,0,7,1,0,0.46,155.06,85.46,8.15,3.24,0.25,413.36,0.27,82.2,36.89,1.7,1.13,0.0,100.83
Cat Zingano,Julianna Pena,2016-07-09,Herb Dean,Blue,2-1-0,1,0,2,0,0,0,0,0,2,0,0,3-0-0,0,0,3,0,0,1,1,0,2,0,0,0.0,26.0,18.75,1.0,1.0,1.0,194.0,0.0,71.25,34.5,3.75,2.25,1.5,329.5
Daniel Cormier,Anderson Silva,2016-07-09,John McCarthy,Red,6-1-0,1,0,6,0,0,2,2,1,1,2,0,16-4-0,4,0,16,0,0,2,2,0,11,3,0,0.03,182.34,88.77,5.78,1.61,0.88,309.25,0.57,127.23,67.71,0.0,0.0,0.01,4.43
Diego Sanchez,Joe Lauzon,2016-07-09,Mark Smith,Blue,15-8-0,8,0,15,0,0,7,7,3,5,0,0,12-8-0,8,0,12,0,0,1,1,0,3,7,1,0.03,116.44,40.09,5.5,1.32,0.2,132.25,0.0,81.85,32.26,2.5,0.48,0.09,50.39
Gegard Mousasi,Thiago Santos,2016-07-09,Marc Goddard,Red,5-3-0,3,0,5,0,0,3,3,0,1,1,0,5-2-0,2,0,5,0,0,1,1,0,4,0,0,0.06,107.7,54.0,0.77,0.75,0.28,266.84,1.2,42.42,24.11,0.58,0.25,0.0,29.44
Jim Miller,Takanori Gomi,2016-07-09,Mark Smith,Red,14-8-0,8,0,14,0,0,5,5,1,2,6,0,4-6-0,6,0,4,0,0,1,1,1,2,0,0,0.0,79.94,37.44,1.1,0.3,0.47,68.83,0.03,61.05,27.63,0.07,0.03,0.0,38.19
Johny Hendricks,Kelvin Gastelum,2016-07-09,Dan Miragliotta,Blue,12-4-0,4,0,12,1,1,4,4,2,5,0,0,6-2-0,2,0,6,0,0,1,1,2,1,2,0,0.01,85.91,39.69,6.64,3.26,0.13,292.64,1.01,122.96,50.12,2.22,1.36,0.07,291.85
Jose Aldo,Frankie Edgar,2016-07-09,Marc Goddard,Red,7-1-0,1,0,7,0,0,5,5,0,2,0,0,14-5-0,5,0,14,0,0,8,8,0,4,2,0,0.27,99.91,39.43,0.7,0.6,0.26,81.62,0.51,127.61,49.03,6.03,2.45,0.27,223.12
Miesha Tate,Amanda Nunes,2016-07-09,Herb Dean,Blue,5-2-0,2,0,5,1,1,3,3,0,0,1,0,5-1-0,1,0,5,0,0,1,1,0,3,1,0,0.25,100.47,42.39,6.12,1.41,1.86,316.7,0.38,56.97,30.25,3.31,1.16,1.25,170.25
Sage Northcutt,Enrique Marin,2016-07-09,Marc Goddard,Red,2-1-0,1,0,2,0,0,0,0,0,1,1,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,32.5,16.25,3.25,1.25,0.25,71.0,0.0,94.0,27.0,3.0,1.0,0.0,208.0
TJ Dillashaw,Raphael Assuncao,2016-07-09,Mark Smith,Red,8-3-0,3,0,8,0,0,2,2,0,5,1,0,7-1-0,1,0,7,0,0,4,4,1,1,1,0,0.26,342.62,115.86,6.08,0.87,0.18,161.79,0.02,140.76,70.44,5.06,1.96,0.19,72.23
Aleksei Oleinik,Daniel Omielanczuk,2016-07-13,Kevin MacDonald,Blue,2-0-0,0,0,2,0,0,0,0,0,1,1,0,3-2-0,2,0,3,1,1,0,0,0,2,0,0,0.5,21.5,11.5,2.0,0.5,0.5,23.0,0.31,83.5,50.44,1.69,0.25,0.06,50.44
Cortney Casey,Cristina Stanciu,2016-07-13,BobbyWombacher,Red,0-2-0,2,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,159.5,67.5,0.0,0.0,0.0,10.5,0.0,76.0,39.0,1.0,1.0,2.0,198.0
Devin Clark,Alex Nicholson,2016-07-13,BobbyWombacher,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,0.0,51.0,16.0,0.0,0.0,0.0,0.0
Eric Spicely,Sam Alvey,2016-07-13,John McCarthy,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,3-3-0,3,0,3,0,0,0,0,0,3,0,0,,,,,,,,0.19,31.84,17.0,0.0,0.0,0.0,48.56
Kyle Noke,Keita Nakamura,2016-07-13,Herb Dean,Blue,6-4-0,4,0,6,0,0,0,0,1,3,2,0,1-4-0,4,0,1,0,0,0,0,0,0,1,0,0.28,95.15,43.29,1.64,0.56,0.02,117.66,0.38,61.88,23.12,4.19,2.12,0.81,207.12
Lauren Murphy,Katlyn Chookagian,2016-07-13,Kevin MacDonald,Blue,1-2-0,2,0,1,0,0,0,0,0,1,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,131.75,71.0,3.75,1.0,0.0,304.0,,,,,,,
Louis Smolka,Ben Nguyen,2016-07-13,Herb Dean,Red,4-1-0,1,0,4,0,0,2,2,0,1,1,0,2-0-0,0,0,2,0,0,0,0,0,1,1,0,0.12,95.0,52.0,4.44,1.69,2.31,312.5,1.0,39.0,19.0,0.5,0.0,1.0,80.5
Michael McDonald,John Lineker,2016-07-13,Herb Dean,Blue,6-2-0,2,0,6,0,0,1,1,1,2,2,0,8-2-0,2,0,8,0,0,3,3,0,4,1,0,0.31,33.45,14.09,0.24,0.05,1.27,13.43,0.37,146.43,62.04,1.27,0.64,0.69,91.11
Rani Yahya,Matthew Lopez,2016-07-13,BobbyWombacher,Red,6-3-0,3,0,6,0,0,3,3,1,0,2,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,46.4,17.44,7.8,3.04,1.81,219.48,,,,,,,
Scott Holtzman,Cody Pfister,2016-07-13,Kevin MacDonald,Red,1-1-0,1,0,1,0,0,0,0,0,0,1,0,1-2-0,2,0,1,0,0,1,1,0,0,0,0,0.0,103.5,54.5,4.0,1.5,0.5,246.5,0.0,36.5,9.25,4.75,2.25,0.0,240.5
Tim Boetsch,Josh Samman,2016-07-13,John McCarthy,Red,9-9-0,9,0,9,0,0,3,3,2,4,0,0,3-1-0,1,0,3,0,0,0,0,0,2,1,0,0.25,45.49,19.5,0.44,0.08,0.07,15.33,0.25,25.0,13.88,2.25,1.12,0.25,226.62
Tony Ferguson,Lando Vannata,2016-07-13,John McCarthy,Red,10-1-0,1,0,10,0,0,2,2,1,2,4,1,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.27,108.36,55.57,1.48,0.21,1.37,51.02,,,,,,,
Alex Oliveira,James Moontasri,2016-07-23,Herb Dean,Red,3-2-0,2,0,3,0,0,1,1,0,1,1,0,2-2-0,2,0,2,0,0,0,0,0,1,1,0,0.25,48.94,20.88,3.31,0.81,0.31,165.94,0.62,31.25,15.38,0.0,0.0,0.12,59.38
Darren Elkins,Godofredo Pepey,2016-07-23,Herb Dean,Red,10-4-0,4,0,10,0,0,7,7,1,2,0,0,4-3-0,3,0,4,0,0,0,0,1,1,2,0,0.0,138.08,71.19,10.27,5.48,0.76,450.33,0.12,13.08,4.5,1.27,0.03,1.02,16.05
Edson Barboza,Gilbert Melendez,2016-07-23,John McCarthy,Red,11-4-0,4,0,11,1,1,4,4,1,5,0,0,1-3-0,3,0,1,0,0,1,1,0,0,0,0,0.02,131.87,59.07,1.0,0.5,0.0,29.56,0.0,139.12,42.62,2.75,0.5,0.0,75.88
Felice Herrig,Kailin Curran,2016-07-23,John McCarthy,Red,1-1-0,1,0,1,0,0,0,0,0,0,1,0,1-2-0,2,0,1,0,0,0,0,0,0,1,0,0.0,30.5,18.0,2.5,0.5,2.0,230.0,0.0,84.25,37.75,2.75,2.25,1.0,162.5
Francis Ngannou,Bojan Mihajlovic,2016-07-23,Herb Dean,Red,2-0-0,0,0,2,0,0,0,0,0,1,0,1,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.5,64.5,30.5,0.0,0.0,0.0,39.0,,,,,,,
Frankie Saenz,Eddie Wineland,2016-07-23,Robert Madrigal,Blue,3-1-0,1,0,3,0,0,2,2,1,0,0,0,3-5-0,5,0,3,0,0,0,0,1,2,0,0,0.0,141.75,66.88,4.62,1.25,0.25,196.62,0.17,137.8,38.98,0.73,0.02,0.0,13.4
Holly Holm,Valentina Shevchenko,2016-07-23,Robert Madrigal,Blue,3-1-0,1,0,3,0,0,1,1,1,1,0,0,1-1-0,1,0,1,0,0,0,0,1,0,0,0,0.25,132.75,52.62,0.38,0.38,0.0,35.88,0.0,55.5,30.0,5.0,2.5,0.0,226.0
Jim Alers,Jason Knight,2016-07-23,John McCarthy,Blue,1-2-0,2,0,1,0,0,0,0,1,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.25,78.5,29.75,1.75,0.75,0.25,120.25,0.0,42.0,28.0,0.0,0.0,1.0,0.0
Kamaru Usman,Alexander Yakovlev,2016-07-23,John McCarthy,Red,2-0-0,0,0,2,0,0,1,1,0,0,1,0,2-2-0,2,0,2,0,0,1,1,0,1,0,0,0.0,53.0,31.5,10.5,6.0,0.5,480.5,0.75,45.75,23.5,3.62,1.62,0.0,55.0
Luis Henrique,Dmitrii Smoliakov,2016-07-23,Robert Madrigal,Red,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,5.0,6.0,1.0,0.0,289.0,,,,,,,
Michel Prazeres,JC Cottrell,2016-07-23,Robert Madrigal,Red,3-2-0,2,0,3,0,0,1,1,2,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.12,63.75,25.69,12.31,2.25,0.0,196.38,,,,,,,
Anthony Hamilton,Damian Grabowski,2016-07-30,George Allen,Red,2-3-0,3,0,2,0,0,1,1,0,1,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,69.12,45.12,3.44,1.06,0.0,216.94,0.0,3.0,1.0,1.0,0.0,0.0,0.0
Cesar Arzamendia,Damien Brown,2016-07-30,Marc Goddard,Blue,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,46.0,16.0,4.0,3.0,0.0,72.0,0.0,25.0,15.0,3.0,1.0,1.0,36.0
Francisco Rivera,Erik Perez,2016-07-30,George Allen,Blue,4-6-0,6,0,4,0,0,1,1,0,3,0,0,5-2-0,2,0,5,0,0,2,2,0,2,1,0,0.15,102.23,42.54,1.41,1.11,0.04,16.62,0.17,79.45,28.23,3.19,1.94,0.02,113.56
Matt Brown,Jake Ellenberger,2016-07-30,Marc Goddard,Blue,13-8-0,8,0,13,0,0,2,2,0,9,2,0,9-7-0,7,0,9,0,0,2,2,1,4,1,1,0.02,48.58,23.68,0.94,0.54,0.39,71.29,0.26,66.06,20.26,2.48,0.15,0.13,33.54
Michael Graves,Bojan Velickovic,2016-07-30,George Allen,Draw,2-0-0,0,0,2,0,0,1,1,0,0,1,0,1-0-0,0,0,1,0,0,1,1,0,0,0,0,0.0,33.5,19.0,8.5,4.5,0.5,433.0,0.0,135.0,45.0,5.0,1.0,1.0,46.0
Nikita Krylov,Ed Herman,2016-07-30,Marc Goddard,Red,5-2-0,2,0,5,0,0,0,0,0,2,3,0,10-8-0,8,0,10,0,0,2,2,1,3,4,0,0.14,59.06,39.41,1.27,0.0,0.91,164.44,0.5,60.62,33.66,0.71,0.23,0.06,45.46
Robbie Lawler,Tyron Woodley,2016-07-30,Dan Miragliotta,Blue,12-4-0,4,0,12,0,0,3,3,3,6,0,0,5-2-0,2,0,5,0,0,0,0,1,4,0,0,0.79,176.22,87.96,0.16,0.13,0.0,50.05,0.39,70.56,22.73,0.44,0.19,0.0,52.47
Rose Namajunas,Karolina Kowalkiewicz,2016-07-30,Blake Grice,Blue,3-1-0,1,0,3,0,0,1,1,0,0,2,0,2-0-0,0,0,2,0,0,2,2,0,0,0,0,0.0,116.12,42.38,5.0,3.25,1.12,302.12,0.0,215.0,92.5,0.5,0.0,0.0,66.5
Ross Pearson,Jorge Masvidal,2016-07-30,Blake Grice,Blue,11-9-0,9,0,11,0,0,4,4,2,4,0,1,6-4-0,4,0,6,0,0,4,4,0,1,1,0,0.02,117.18,48.66,1.57,0.32,0.0,83.11,0.16,120.78,53.72,2.47,0.87,1.29,157.33
Ryan Benoit,Fredy Serrano,2016-07-30,Blake Grice,Red,1-2-0,2,0,1,0,0,0,0,0,1,0,0,2-0-0,0,0,2,0,0,0,0,0,2,0,0,0.25,41.25,12.0,0.75,0.25,0.25,40.75,0.5,51.5,11.5,5.0,1.5,0.0,23.0
Wilson Reis,Hector Sandoval,2016-07-30,Dan Miragliotta,Red,4-2-0,2,0,4,0,0,3,3,0,0,1,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,92.47,35.75,15.28,5.41,0.19,333.59,,,,,,,
Chase Sherman,Justin Ledet,2016-08-06,Dave Seljestad,Blue,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Court McGee,Dominique Steele,2016-08-06,Dan Miragliotta,Red,6-4-0,4,0,6,0,0,3,3,1,0,2,0,1-2-0,2,0,1,0,0,0,0,0,1,0,0,0.0,132.26,51.98,6.83,1.15,0.26,143.65,0.75,53.25,26.5,8.0,4.0,0.0,322.5
Cub Swanson,Tatsuya Kawajiri,2016-08-06,John McCarthy,Red,7-3-0,3,0,7,0,0,3,3,0,4,0,0,3-2-0,2,0,3,0,0,2,2,0,0,1,0,1.04,138.35,67.43,0.82,0.07,0.0,95.67,0.0,32.81,18.94,8.31,2.75,0.12,516.25
David Teymur,Jason Novelli,2016-08-06,Herb Dean,Red,1-0-0,0,0,1,0,0,0,0,0,1,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,1.0,62.0,38.0,1.0,1.0,0.0,29.0,,,,,,,
Dennis Bermudez,Rony Jason,2016-08-06,John McCarthy,Red,8-3-0,3,0,8,0,0,3,3,2,1,2,0,4-3-0,3,0,4,0,0,1,1,0,2,1,0,0.1,79.72,46.72,5.31,2.7,0.67,245.98,0.12,26.0,11.94,1.55,0.52,0.8,35.98
Maryna Moroz,Danielle Taylor,2016-08-06,Herb Dean,Red,2-1-0,1,0,2,0,0,1,1,0,0,1,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,90.75,34.25,1.5,0.5,0.75,131.75,,,,,,,
Santiago Ponzinibbio,Zak Cummings,2016-08-06,Herb Dean,Red,4-2-0,2,0,4,0,0,1,1,0,3,0,0,4-1-0,1,0,4,0,0,2,2,0,1,1,0,0.81,81.84,39.34,0.56,0.06,0.0,16.88,0.75,101.75,35.81,2.0,0.81,0.62,148.81
Teruto Ishihara,Horacio Gutierrez,2016-08-06,Dave Seljestad,Red,1-1-0,1,0,1,0,0,0,0,0,1,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,1.5,109.5,57.5,0.5,0.0,0.0,9.0,0.0,38.0,10.0,0.0,0.0,0.0,0.0
Thales Leites,Chris Camozzi,2016-08-06,Dan Miragliotta,Red,10-5-0,5,0,10,0,0,3,3,1,2,4,0,9-7-0,7,0,9,0,0,4,4,2,1,1,1,0.09,95.87,32.86,6.59,0.48,0.28,95.01,0.25,75.73,39.08,1.05,0.88,0.27,207.93
Trevor Smith,Joe Gigliotti,2016-08-06,Dan Miragliotta,Red,3-3-0,3,0,3,0,0,2,2,1,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,54.44,35.94,2.53,0.81,0.31,421.0,,,,,,,
Viktor Pesta,Marcin Tybura,2016-08-06,John McCarthy,Blue,1-2-0,2,0,1,0,0,1,1,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,42.25,19.25,12.0,3.75,0.0,398.75,0.0,101.0,48.0,3.0,1.0,0.0,77.0
Yair Rodriguez,Alex Caceres,2016-08-06,Herb Dean,Red,4-0-0,0,0,4,0,0,2,2,1,1,0,0,7-7-0,7,0,7,0,0,3,3,2,0,2,0,0.5,75.38,36.75,4.12,1.88,0.88,158.5,0.52,125.3,71.09,3.27,2.77,0.02,125.88
Alberto Uda,Marvin Vettori,2016-08-20,Dan Miragliotta,Blue,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,27.0,15.0,2.0,1.0,0.0,83.0,,,,,,,
Anthony Johnson,Glover Teixeira,2016-08-20,Dan Miragliotta,Red,12-5-0,5,0,12,0,0,2,2,0,10,0,0,8-2-0,2,0,8,0,0,1,1,0,3,3,1,0.48,29.16,17.62,0.84,0.65,0.0,97.82,0.52,54.34,26.16,1.63,0.67,0.14,74.78
Artem Lobov,Chris Avila,2016-08-20,Mark Smith,Red,0-2-0,2,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,59.5,12.5,0.0,0.0,0.0,253.0,,,,,,,
Cody Garbrandt,Takeya Mizugaki,2016-08-20,John McCarthy,Red,4-0-0,0,0,4,0,0,1,1,0,3,0,0,8-4-0,4,0,8,0,0,4,4,3,1,0,0,1.12,70.75,27.38,1.12,0.5,0.0,12.5,0.06,116.14,46.97,1.3,0.15,0.02,138.77
Colby Covington,Max Griffin,2016-08-20,Mark Smith,Red,4-1-0,1,0,4,0,0,1,1,0,1,2,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.5,28.81,15.38,7.12,3.44,0.56,421.5,,,,,,,
Hyun Gyu Lim,Mike Perry,2016-08-20,John McCarthy,Blue,3-2-0,2,0,3,0,0,0,0,0,3,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.44,68.94,30.75,0.06,0.06,0.12,22.31,,,,,,,
Nate Diaz,Conor McGregor,2016-08-20,John McCarthy,Blue,14-8-0,8,0,14,0,0,2,2,1,2,9,0,7-1-0,1,0,7,0,0,1,1,0,6,0,0,0.0,173.58,83.0,0.71,0.53,1.08,39.53,0.49,93.58,42.64,0.55,0.05,0.0,27.51
Neil Magny,Lorenz Larkin,2016-08-20,Dan Miragliotta,Blue,11-3-0,3,0,11,0,0,5,5,1,4,1,0,4-5-0,5,0,4,0,0,1,1,1,2,0,0,0.0,157.24,99.33,5.88,2.65,1.02,197.49,0.19,120.64,50.55,1.5,0.5,0.0,72.17
Randa Markos,Cortney Casey,2016-08-20,Mark Smith,Blue,2-2-0,2,0,2,0,0,2,2,0,0,0,0,1-2-0,2,0,1,0,0,0,0,0,1,0,0,0.0,165.75,60.62,6.0,1.12,0.62,197.62,0.0,93.75,43.25,1.0,1.0,0.0,34.25
Raquel Pennington,Elizabeth Phillips,2016-08-20,Herb Dean,Red,4-2-0,2,0,4,0,0,1,1,1,0,2,0,1-2-0,2,0,1,0,0,1,1,0,0,0,0,0.0,109.38,58.12,3.38,0.66,0.41,95.88,0.0,131.5,47.5,2.75,1.0,0.5,345.0
Rick Story,Donald Cerrone,2016-08-20,Herb Dean,Blue,12-6-0,6,0,12,0,0,5,5,3,2,2,0,17-4-0,4,0,17,0,0,6,6,0,6,5,0,0.37,158.17,80.29,4.01,0.76,0.13,280.15,1.52,79.52,45.7,2.39,1.3,0.79,155.37
Tim Means,Sabah Homasi,2016-08-20,Herb Dean,Red,7-4-0,4,0,7,0,0,2,2,1,3,1,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.75,70.63,33.18,0.91,0.32,0.13,41.41,,,,,,,
Anthony Pettis,Charles Oliveira,2016-08-27,Yves Lavigne,Red,5-4-0,4,0,5,0,0,0,0,1,2,2,0,9-6-0,6,0,9,0,0,1,1,0,0,8,0,0.02,118.1,47.39,1.66,0.02,0.1,8.5,0.13,27.04,15.97,1.76,0.9,1.04,50.86
Chad Laprise,Thibault Gouti,2016-08-27,Kevin Dornan,Red,3-2-0,2,0,3,0,0,2,2,1,0,0,0,0-2-0,2,0,0,0,0,0,0,0,0,0,0,0.0,148.81,58.12,0.56,0.25,0.0,31.31,0.0,35.0,14.5,0.0,0.0,0.0,13.5
Demian Maia,Carlos Condit,2016-08-27,John McCarthy,Red,17-6-0,6,0,17,0,0,8,8,0,1,8,0,7-5-0,5,0,7,0,0,1,1,1,4,0,1,0.03,35.88,26.11,8.7,2.72,1.51,659.59,0.33,317.85,117.86,0.88,0.5,0.26,50.65
Enrique Barzola,Kyle Bochniak,2016-08-27,Dan Miragliotta,Blue,1-0-0,0,0,1,0,0,1,1,0,0,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,71.0,38.0,9.0,5.0,0.0,660.0,1.0,129.0,52.0,5.0,1.0,0.0,44.0
Garreth McLellan,Alessio Di Chirico,2016-08-27,Kevin Dornan,Blue,1-2-0,2,0,1,0,0,0,0,0,1,0,0,0-1-0,1,0,0,0,0,0,0,0,0,0,0,0.0,55.0,33.5,2.25,0.5,0.75,157.5,0.0,148.0,65.0,3.0,2.0,0.0,27.0
Jeremy Kennedy,Alessandro Ricci,2016-08-27,Yves Lavigne,Red,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
Joe Lauzon,Jim Miller,2016-08-27,John McCarthy,Blue,13-8-0,8,0,13,0,0,1,1,0,4,7,1,15-8-0,8,0,15,0,0,5,5,1,3,6,0,0.5,57.42,27.13,1.25,0.24,0.05,33.7,0.0,52.97,22.72,1.05,0.65,0.23,80.92
Paige VanZant,Bec Rawlings,2016-08-27,Dan Miragliotta,Red,3-1-0,1,0,3,0,0,1,1,0,1,1,0,2-1-0,1,0,2,0,0,1,1,0,0,1,0,0.0,82.5,39.25,4.12,1.38,0.62,257.88,0.0,131.0,61.0,2.0,0.5,0.25,199.5
Sam Alvey,Kevin Casey,2016-08-27,Yves Lavigne,Red,4-3-0,3,0,4,0,0,0,0,0,3,1,0,1-5-0,5,0,1,0,0,1,1,0,0,0,0,0.09,23.42,12.5,0.0,0.0,0.5,34.28,0.03,60.62,36.97,3.72,1.06,0.06,226.47
Shane Campbell,Felipe Silva,2016-08-27,John McCarthy,Blue,1-3-0,3,0,1,0,0,1,1,0,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,61.0,37.12,3.25,0.75,0.0,121.62,,,,,,,
Alexander Gustafsson,Jan Blachowicz,2016-09-03,Marc Goddard,Red,8-4-0,4,0,8,0,0,2,2,0,4,2,0,2-2-0,2,0,2,0,0,1,1,0,1,0,0,0.65,165.3,75.7,4.65,0.89,0.01,63.96,0.0,103.0,61.12,2.62,2.25,0.25,262.12
Andrei Arlovski,Josh Barnett,2016-09-03,Leon Roberts,Blue,14-6-0,6,0,14,0,0,2,2,1,9,2,0,6-3-0,3,0,6,0,0,1,1,0,4,1,0,0.1,36.91,18.72,0.02,0.01,0.0,54.62,0.06,91.78,58.19,0.67,0.04,0.06,155.89
Ashlee Evans-Smith,Veronica Macedo,2016-09-03,Neil Hall,Red,1-1-0,1,0,1,0,0,0,0,1,0,0,0,0-0-0,0,0,0,0,0,0,0,0,0,0,0,0.0,114.5,33.0,2.0,1.0,0.0,119.0,,,,,,,
