b_fighter,gender,weightclass,b_age,b_stance,b_heightcms,b_reachcms,b_weightlbs,b_record,b_losses,b_draws,b_wins,b_winbydecisionmajority,b_winbydecisionunanimous,b_winsbydecisionmajority,b_winsbydecisionsplit,b_winsbydecisionunanimous,b_winsbyko,b_winsbysubmission,b_winsbytkodoctorstoppage,b_matchwcrank,b_pfprank
Julio Paulino,MALE,Welterweight,34.0,Orthodox,182.88,185.42,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Jon Fitch,MALE,Welterweight,32.0,Orthodox,182.88,193.04,170.0,11.0-1.0-0.0,1.0,0.0,11.0,0.0,6.0,0.0,,6.0,1.0,3.0,0.0,,
Shane Carwin,MALE,Heavyweight,35.0,Orthodox,187.96,203.2,265.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,3.0,0.0,0.0,,
Dan Hardy,MALE,Welterweight,27.0,Orthodox,182.88,187.96,170.0,4.0-0.0-0.0,0.0,0.0,4.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Mark Bocek,MALE,Lightweight,28.0,Orthodox,172.72,190.5,155.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,0.0,3.0,0.0,,
Fabricio Camoes,MALE,Lightweight,31.0,Orthodox,177.8,185.42,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Greg Soto,MALE,Welterweight,23.0,Orthodox,180.34,185.42,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rory Markham,MALE,Welterweight,28.0,Orthodox,182.88,180.34,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Matt Brown,MALE,Welterweight,29.0,Orthodox,182.88,190.5,170.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,1.0,0.0,,
Jared Hamman,MALE,Light Heavyweight,28.0,Orthodox,190.5,190.5,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Tomasz Drwal,MALE,Middleweight,28.0,Orthodox,185.42,193.04,205.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,1.0,0.0,,
Rafaello Oliveira,MALE,Lightweight,28.0,Orthodox,172.72,180.34,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Gleison Tibau,MALE,Lightweight,26.0,Southpaw,177.8,180.34,155.0,6.0-4.0-0.0,4.0,0.0,6.0,0.0,4.0,0.0,,4.0,0.0,2.0,0.0,,
Jason High,MALE,Welterweight,28.0,Southpaw,172.72,180.34,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Mario Miranda,MALE,Middleweight,30.0,Orthodox,190.5,187.96,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Ronys Torres,MALE,Lightweight,34.0,Orthodox,170.18,180.3,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Takanori Gomi,MALE,Lightweight,31.0,Southpaw,170.18,177.8,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Jorge Rivera,MALE,Middleweight,38.0,Orthodox,185.42,185.42,185.0,6.0-5.0-0.0,5.0,0.0,6.0,0.0,2.0,0.0,,2.0,3.0,0.0,0.0,,
Nik Lentz,MALE,Lightweight,25.0,Orthodox,172.72,172.72,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Dennis Siver,MALE,Lightweight,31.0,Orthodox,167.64,177.8,145.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,1.0,0.0,,
Stefan Struve,MALE,Heavyweight,22.0,Orthodox,210.82,213.36,265.0,3.0-1.0-0.0,1.0,0.0,3.0,1.0,0.0,1.0,,0.0,0.0,2.0,0.0,,
Lucio Linhares,MALE,Middleweight,36.0,Orthodox,187.96,189.2,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Phil Davis,MALE,Light Heavyweight,25.0,Orthodox,187.96,200.66,205.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Demian Maia,MALE,Middleweight,32.0,Southpaw,185.42,182.88,170.0,6.0-1.0-0.0,1.0,0.0,6.0,0.0,1.0,0.0,,1.0,0.0,5.0,0.0,,
Frankie Edgar,MALE,Lightweight,28.0,Orthodox,167.64,172.72,145.0,6.0-1.0-0.0,1.0,0.0,6.0,0.0,4.0,0.0,,4.0,1.0,1.0,0.0,,
Brad Blackburn,MALE,Welterweight,32.0,Orthodox,177.8,185.42,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Mostapha Al-Turk,MALE,Heavyweight,36.0,Orthodox,187.96,195.58,245.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Mark Munoz,MALE,Middleweight,32.0,Orthodox,182.88,182.88,185.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Renzo Gracie,MALE,Welterweight,43.0,Orthodox,177.8,177.8,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rick Story,MALE,Welterweight,25.0,Southpaw,175.26,180.34,170.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Matt Veach,MALE,Lightweight,28.0,Orthodox,180.34,176.53,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Rafael Dos Anjos,MALE,Lightweight,25.0,Southpaw,172.72,177.8,170.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
John Salter,MALE,Middleweight,25.0,Southpaw,185.42,187.96,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Tim Hague,MALE,Heavyweight,26.0,Orthodox,193.04,193.04,260.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Paul Daley,MALE,Welterweight,27.0,Orthodox,175.26,193.04,170.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Matt Mitrione,MALE,Heavyweight,31.0,Switch,190.5,200.66,265.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Mauricio Rua,MALE,Light Heavyweight,28.0,Orthodox,185.42,193.04,205.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Jonathan Goulet,MALE,Welterweight,30.0,Orthodox,182.88,185.42,170.0,4.0-4.0-0.0,4.0,0.0,4.0,1.0,0.0,1.0,,0.0,1.0,1.0,1.0,,
Alan Belcher,MALE,Middleweight,26.0,Orthodox,187.96,185.42,185.0,6.0-4.0-0.0,4.0,0.0,6.0,0.0,0.0,0.0,,0.0,2.0,2.0,1.0,,
Jeremy Stephens,MALE,Lightweight,23.0,Orthodox,172.72,180.34,145.0,4.0-4.0-0.0,4.0,0.0,4.0,0.0,1.0,0.0,,1.0,2.0,0.0,1.0,,
Johny Hendricks,MALE,Welterweight,26.0,Southpaw,175.26,175.26,185.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Joe Doerksen,MALE,Middleweight,32.0,Orthodox,182.88,190.5,185.0,1.0-5.0-0.0,5.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Mike Guymon,MALE,Welterweight,35.0,Orthodox,182.88,187.96,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Joe Brammer,MALE,Lightweight,26.0,Orthodox,172.72,177.8,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Dong Hyun Kim,MALE,Welterweight,28.0,Southpaw,187.96,193.04,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
John Hathaway,MALE,Welterweight,22.0,Orthodox,185.42,190.5,170.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,,
Dan Lauzon,MALE,Lightweight,22.0,Orthodox,177.8,183.0,155.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rogerio Nogueira,MALE,Light Heavyweight,33.0,Southpaw,187.96,190.5,205.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Ryan Jensen,MALE,Middleweight,32.0,Orthodox,185.42,193.04,185.0,1.0-4.0-0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Cyrille Diabate,MALE,Light Heavyweight,36.0,Southpaw,198.12,205.74,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Waylon Lowe,MALE,Lightweight,29.0,Southpaw,170.18,165.0,145.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Dan Miller,MALE,Middleweight,28.0,Orthodox,185.42,187.96,185.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Rashad Evans,MALE,Light Heavyweight,30.0,Orthodox,182.88,190.5,205.0,9.0-2.0-0.0,2.0,0.0,9.0,1.0,1.0,1.0,,1.0,4.0,0.0,0.0,,
Mike Russow,MALE,Heavyweight,33.0,Orthodox,185.42,185.42,255.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Gilbert Yvel,MALE,Heavyweight,33.0,Orthodox,187.96,195.58,225.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rory MacDonald,MALE,Welterweight,20.0,Orthodox,182.88,193.04,170.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Rich Franklin,MALE,Light Heavyweight,35.0,Southpaw,185.42,190.5,185.0,12.0-4.0-0.0,4.0,0.0,12.0,0.0,3.0,0.0,,3.0,7.0,1.0,1.0,,
Mario Miranda,MALE,Middleweight,30.0,Orthodox,190.5,187.96,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Peter Sobotta,MALE,Welterweight,23.0,Southpaw,182.88,190.5,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Matt Wiman,MALE,Lightweight,26.0,Orthodox,177.8,172.72,155.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,2.0,0.0,,2.0,2.0,1.0,0.0,,
Jesse Lennox,MALE,Welterweight,28.0,Orthodox,175.26,182.88,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.0,,
Pat Barry,MALE,Heavyweight,30.0,Orthodox,180.34,187.96,235.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Martin Kampmann,MALE,Welterweight,28.0,Orthodox,182.88,182.88,170.0,7.0-2.0-0.0,2.0,0.0,7.0,0.0,1.0,0.0,,1.0,1.0,4.0,0.0,,
Claude Patrick,MALE,Welterweight,29.0,Orthodox,180.34,190.5,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Evan Dunham,MALE,Lightweight,28.0,Southpaw,177.8,177.8,155.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
Seth Baczynski,MALE,Middleweight,28.0,Orthodox,190.5,187.96,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
James Hammortree,MALE,Middleweight,26.0,Orthodox,190.5,191.77,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Aaron Simpson,MALE,Middleweight,35.0,Orthodox,182.88,185.42,170.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Kris McCray,MALE,Middleweight,28.0,Orthodox,182.88,193.04,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Travis Browne,MALE,Heavyweight,27.0,Orthodox,198.12,200.66,255.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Rich Attonito,MALE,Middleweight,33.0,Orthodox,177.8,182.88,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Mark Holst,MALE,Lightweight,24.0,Orthodox,182.88,190.0,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Kyle Noke,MALE,Middleweight,30.0,Southpaw,185.42,193.04,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Matt Hamill,MALE,Light Heavyweight,33.0,Orthodox,185.42,193.04,205.0,7.0-2.0-0.0,2.0,0.0,7.0,0.0,1.0,0.0,,1.0,5.0,0.0,0.0,,
Dennis Siver,MALE,Lightweight,31.0,Orthodox,167.64,177.8,145.0,4.0-4.0-0.0,4.0,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,1.0,0.0,,
Chris Tuchscherer,MALE,Heavyweight,34.0,Orthodox,187.96,193.04,258.0,1.0-1.0-0.0,1.0,0.0,1.0,1.0,0.0,1.0,,0.0,0.0,0.0,0.0,,
Shane Carwin,MALE,Heavyweight,35.0,Orthodox,187.96,203.2,265.0,4.0-0.0-0.0,0.0,0.0,4.0,0.0,0.0,0.0,,0.0,4.0,0.0,0.0,,
Yoshihiro Akiyama,MALE,Middleweight,34.0,Orthodox,177.8,185.42,170.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Matt Brown,MALE,Welterweight,29.0,Orthodox,182.88,190.5,170.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,0.0,0.0,,0.0,3.0,1.0,0.0,,
Daniel Roberts,MALE,Welterweight,29.0,Southpaw,177.8,187.96,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Kurt Pellegrino,MALE,Lightweight,31.0,Orthodox,172.72,177.8,155.0,7.0-3.0-0.0,3.0,0.0,7.0,0.0,2.0,0.0,,2.0,1.0,4.0,0.0,,
David Branch,MALE,Middleweight,28.0,Orthodox,185.42,198.12,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Karlos Vemola,MALE,Heavyweight,24.0,Orthodox,182.88,190.5,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Goran Reljic,MALE,Middleweight,26.0,Southpaw,190.5,205.74,205.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Stephan Bonnar,MALE,Light Heavyweight,33.0,Orthodox,193.04,198.12,205.0,5.0-6.0-0.0,6.0,0.0,5.0,0.0,2.0,0.0,,2.0,1.0,2.0,0.0,,
Ricardo Romero,MALE,Light Heavyweight,32.0,Orthodox,182.88,193.04,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Mike Massenzio,MALE,Middleweight,27.0,Southpaw,187.96,185.42,185.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Matthew Riddle,MALE,Welterweight,24.0,Southpaw,185.42,187.96,170.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,
Charles Oliveira,MALE,Lightweight,20.0,Orthodox,177.8,187.96,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Igor Pokrajac,MALE,Light Heavyweight,31.0,Orthodox,182.88,193.04,205.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Jake Ellenberger,MALE,Welterweight,25.0,Orthodox,175.26,180.34,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Vladimir Matyushenko,MALE,Light Heavyweight,39.0,Orthodox,182.88,187.96,205.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,3.0,0.0,,3.0,1.0,0.0,0.0,,
Yushin Okami,MALE,Middleweight,29.0,Southpaw,187.96,190.5,170.0,8.0-2.0-0.0,2.0,0.0,8.0,0.0,4.0,0.0,,4.0,3.0,0.0,1.0,,
Jacob Volkmann,MALE,Lightweight,29.0,Southpaw,175.26,180.34,155.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Steve Steinbeiss,MALE,Middleweight,29.0,Orthodox,190.5,190.5,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Takanori Gomi,MALE,Lightweight,31.0,Southpaw,170.18,177.8,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Chael Sonnen,MALE,Middleweight,33.0,Southpaw,185.42,187.96,205.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,4.0,0.0,,4.0,0.0,0.0,0.0,,
Dennis Hallman,MALE,Welterweight,34.0,Orthodox,175.26,182.88,155.0,1.0-4.0-0.0,4.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Rafael Dos Anjos,MALE,Lightweight,25.0,Southpaw,172.72,177.8,170.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,1.0,0.0,,
Rick Story,MALE,Welterweight,25.0,Southpaw,175.26,180.34,170.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Charlie Brenneman,MALE,Welterweight,29.0,Orthodox,177.8,182.88,155.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Thiago Alves,MALE,Welterweight,26.0,Orthodox,175.26,177.8,170.0,9.0-3.0-0.0,3.0,0.0,9.0,0.0,2.0,0.0,,2.0,6.0,0.0,1.0,,
Ricardo Almeida,MALE,Welterweight,33.0,Orthodox,182.88,187.96,170.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,2.0,0.0,,2.0,0.0,3.0,0.0,,
Phil Davis,MALE,Light Heavyweight,25.0,Orthodox,187.96,200.66,205.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Junior Dos Santos,MALE,Heavyweight,26.0,Orthodox,193.04,195.58,238.0,5.0-0.0-0.0,0.0,0.0,5.0,0.0,0.0,0.0,,0.0,5.0,0.0,0.0,,
Christian Morecraft,MALE,Heavyweight,23.0,Orthodox,198.12,205.74,260.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Tim Boetsch,MALE,Light Heavyweight,29.0,Orthodox,182.88,187.96,185.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,
Nik Lentz,MALE,Lightweight,26.0,Orthodox,172.72,172.72,155.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
John Salter,MALE,Middleweight,25.0,Southpaw,185.42,187.96,185.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Mario Miranda,MALE,Middleweight,31.0,Orthodox,190.5,187.96,185.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
BJ Penn,MALE,Lightweight,31.0,Orthodox,175.26,177.8,155.0,11.0-6.0-0.0,6.0,0.0,11.0,0.0,1.0,0.0,,1.0,5.0,4.0,1.0,,
Gabe Ruediger,MALE,Lightweight,32.0,Orthodox,177.8,178.0,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Gray Maynard,MALE,Lightweight,31.0,Orthodox,175.26,177.8,155.0,7.0-1.0-0.0,1.0,0.0,7.0,0.0,4.0,0.0,,4.0,1.0,0.0,0.0,,
Amilcar Alves,MALE,Welterweight,22.0,Southpaw,182.88,185.42,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Marcus Davis,MALE,Welterweight,37.0,Southpaw,177.8,177.8,170.0,9.0-4.0-0.0,4.0,0.0,9.0,0.0,1.0,0.0,,1.0,3.0,4.0,0.0,,
Greg Soto,MALE,Welterweight,24.0,Orthodox,180.34,185.42,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
James Toney,MALE,Heavyweight,42.0,Orthodox,175.26,183.0,220.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Forrest Petz,MALE,Welterweight,34.0,Orthodox,175.26,180.34,170.0,2.0-4.0-0.0,4.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Ross Pearson,MALE,Lightweight,25.0,Orthodox,172.72,175.26,155.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,0.0,1.0,,
Charles Oliveira,MALE,Lightweight,20.0,Orthodox,177.8,187.96,155.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Kyle Kingsbury,MALE,Light Heavyweight,28.0,Orthodox,193.04,193.04,205.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Gleison Tibau,MALE,Lightweight,26.0,Southpaw,177.8,180.34,155.0,7.0-4.0-0.0,4.0,0.0,7.0,0.0,4.0,0.0,,4.0,1.0,2.0,0.0,,
Rousimar Palhares,MALE,Middleweight,30.0,Orthodox,172.72,180.34,170.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,1.0,0.0,,1.0,0.0,3.0,0.0,,
Rafael Natal,MALE,Middleweight,27.0,Orthodox,182.88,193.04,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
David Mitchell,MALE,Welterweight,30.0,Orthodox,182.88,193.04,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
David Branch,MALE,Middleweight,28.0,Orthodox,185.42,198.12,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
John Gunderson,MALE,Lightweight,31.0,Orthodox,175.26,175.26,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Joe Doerksen,MALE,Middleweight,32.0,Orthodox,182.88,190.5,185.0,2.0-5.0-0.0,5.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,
Mirko Filipovic,MALE,Heavyweight,36.0,Southpaw,187.96,185.42,230.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,0.0,0.0,,0.0,2.0,1.0,1.0,,
Sean McCorkle,MALE,Heavyweight,34.0,Orthodox,200.66,205.74,265.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Joey Beltran,MALE,Heavyweight,28.0,Orthodox,185.42,190.5,185.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Chris Lytle,MALE,Welterweight,36.0,Orthodox,180.34,172.72,170.0,8.0-9.0-0.0,9.0,0.0,8.0,0.0,2.0,0.0,,2.0,1.0,5.0,0.0,,
