r_name,b_name,event,date,month,year,gender,city,state,country,referee,winner,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_age_range,r_stance,b_odds,b_age,r_age_range,b_stance,r_avgkd,r_avgsigstratt,r_avgsigstrlanded,r_avgtdatt,r_avgtdlanded,r_avgsubatt,r_avgctrltime(seconds),b_avgkd,b_avgsigstratt,b_avgsigstrlanded,b_avgtdatt,b_avgtdlanded,b_avgsubatt,b_avgctrltime(seconds),r_undefeated,b_undefeated,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion
Jacob Volkmann,Ronys Torres,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Bill Clancy,Red,S-DEC,,3,False,Lightweight,3,False,5.08,-5,0.04,190,29,26-30,Southpaw,-230,34,26-30,Orthodox,0.0,37.0,14.5,2.0,0.5,0.5,184.5,0.0,49.0,6.0,13.0,5.0,1.0,343.0,False,False,False,False,False,False,False,False
Kenny Florian,Takanori Gomi,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Mario Yamasaki,Red,SUB,Rear Naked Choke,3,False,Lightweight,3,False,7.62,2,10.16,-360,33,31-35,Southpaw,300,31,31-35,Southpaw,0.5,68.16,22.95,5.65,1.06,0.65,139.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,False
Nate Quarry,Jorge Rivera,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Mario Yamasaki,Blue,KO/TKO,Punches,2,False,Middleweight,3,False,-2.54,0,-2.54,-230,38,36-40,Open Stance,190,38,36-40,Orthodox,1.05,89.09,38.05,0.28,0.25,0.0,268.87,0.83,84.51,43.02,2.07,1.06,0.12,332.61,False,False,False,False,False,False,False,False
Rob Emerson,Nik Lentz,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dale Frye,Blue,U-DEC,,3,False,Lightweight,3,False,2.54,3,5.08,130,28,26-30,Orthodox,-150,25,26-30,Orthodox,0.06,86.28,25.19,6.41,3.78,0.03,287.0,0.0,171.0,69.0,9.0,4.0,2.5,155.5,False,False,False,False,False,False,False,False
Ross Pearson,Dennis Siver,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dan Miragliotta,Red,U-DEC,,3,False,Lightweight,3,False,5.08,-6,-2.54,-220,25,21-25,Orthodox,180,31,21-25,Orthodox,0.0,125.5,66.5,3.5,0.0,0.0,140.0,1.14,114.39,27.97,1.23,0.05,0.5,40.05,True,False,False,False,False,False,False,False
Roy Nelson,Stefan Struve,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dan Miragliotta,Red,KO/TKO,Punch,1,False,Heavyweight,3,False,-27.94,11,-30.48,-350,33,31-35,Orthodox,290,22,31-35,Orthodox,1.0,35.0,8.0,2.0,1.0,0.0,82.0,0.0,62.38,30.5,0.88,0.75,2.62,207.75,True,False,False,False,False,False,False,False
Yushin Okami,Lucio Linhares,UFC Fight Night: Florian vs Gomi,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,Dale Frye,Red,KO/TKO,,2,False,Middleweight,3,False,0.0,-8,1.3,-650,28,26-30,Southpaw,475,36,26-30,Orthodox,0.25,112.46,29.5,0.35,0.21,0.69,197.46,0.0,27.0,8.0,2.0,2.0,2.0,111.0,False,False,False,False,False,False,False,False
Alexander Gustafsson,Phil Davis,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Dan Miragliotta,Blue,SUB,Anaconda Choke,1,False,Light Heavyweight,3,False,7.62,-2,0.0,350,23,21-25,Orthodox,-440,25,21-25,Orthodox,1.0,23.0,6.0,0.0,0.0,0.0,5.0,0.0,103.0,48.0,4.0,3.0,1.0,645.0,True,True,False,False,False,False,False,False
Anderson Silva,Demian Maia,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Dan Miragliotta,Red,U-DEC,,5,True,Middleweight,5,False,2.54,2,12.7,-675,34,31-35,Southpaw,550,32,31-35,Southpaw,1.62,55.91,36.72,0.15,0.13,0.04,69.44,0.0,43.59,17.09,4.41,2.3,0.34,182.69,True,False,False,False,False,False,False,False
BJ Penn,Frankie Edgar,UFC 112: Invincible,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,Herb Dean,Blue,U-DEC,,5,True,Lightweight,5,False,7.62,3,5.08,-780,31,31-35,Orthodox,620,28,31-35,Orthodox,0.13,108.01,60.92,1.01,0.31,0.35,130.38,0.0,101.81,43.91,5.55,1.94,0.75,154.27,False,False,False,False,False,False,False,False
