r_name,b_name,date,month,year,gender,city,state,country,finish,finishdetails,finishround,titlebout,weightclass,numberofrounds,emptyarena,r_odds,r_age,r_stance,b_odds,b_age,b_stance,r_wc_ranked,r_pfp_ranked,b_wc_ranked,b_pfp_ranked,r_champion,b_champion,r_undefeated,b_undefeated,r_age_range,b_age_range,heightdif,reachdif,agedif
Yushin Okami,Lucio Linhares,2010-03-31,3,2010,MALE,Charlotte,North Carolina,USA,KO/TKO,,2.0,False,Middleweight,3.0,0.0,-650.0,28.0,Southpaw,475.0,36.0,Orthodox,False,False,False,False,False,False,False,False,26-30,36-40,0.0,1.3,-8.0
Alexander Gustafsson,Phil Davis,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,SUB,Anaconda Choke,1.0,False,Light Heavyweight,3.0,0.0,350.0,23.0,Orthodox,-440.0,25.0,Orthodox,False,False,False,False,False,False,True,True,21-25,21-25,7.62,0.0,-2.0
Anderson Silva,Demian Maia,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,U-DEC,,5.0,True,Middleweight,5.0,0.0,-675.0,34.0,Southpaw,550.0,32.0,Southpaw,False,False,False,False,False,False,True,False,31-35,31-35,2.54,12.7,2.0
BJ Penn,Frankie Edgar,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,U-DEC,,5.0,True,Lightweight,5.0,0.0,-780.0,31.0,Orthodox,620.0,28.0,Orthodox,False,False,False,False,False,False,False,False,31-35,26-30,7.62,5.08,3.0
DaMarques Johnson,Brad Blackburn,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,KO/TKO,Kick,3.0,False,Welterweight,3.0,0.0,140.0,27.0,Orthodox,-160.0,32.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,7.62,5.08,-5.0
Jon Madsen,Mostapha Al-Turk,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,U-DEC,,3.0,False,Heavyweight,3.0,0.0,-245.0,30.0,Orthodox,205.0,36.0,Orthodox,False,False,False,False,False,False,True,False,26-30,36-40,-5.08,-12.7,-6.0
Kendall Grove,Mark Munoz,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,KO/TKO,Punches,2.0,False,Middleweight,3.0,0.0,160.0,27.0,Orthodox,-170.0,32.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,15.24,17.78,-5.0
Matt Hughes,Renzo Gracie,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,KO/TKO,Punches,3.0,False,Welterweight,3.0,0.0,-380.0,36.0,Switch,340.0,43.0,Orthodox,False,False,False,False,False,False,False,True,36-40,41-45,-2.54,7.62,-7.0
Nick Osipczak,Rick Story,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,S-DEC,,3.0,False,Welterweight,3.0,0.0,145.0,25.0,Orthodox,-165.0,25.0,Southpaw,False,False,False,False,False,False,True,False,21-25,21-25,12.7,12.7,0.0
Paul Kelly,Matt Veach,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,SUB,Guillotine Choke,2.0,False,Lightweight,3.0,0.0,220.0,25.0,Orthodox,-260.0,28.0,Orthodox,False,False,False,False,False,False,False,False,21-25,26-30,-5.08,1.27,-3.0
Terry Etim,Rafael Dos Anjos,2010-04-10,4,2010,MALE,Abu Dhabi,,United Arab Emirates,SUB,Armbar,2.0,False,Lightweight,3.0,0.0,-135.0,24.0,Orthodox,125.0,25.0,Southpaw,False,False,False,False,False,False,False,False,21-25,21-25,12.7,7.62,-1.0
Jason MacDonald,John Salter,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,KO/TKO,,1.0,False,Middleweight,3.0,0.0,-175.0,34.0,Orthodox,155.0,25.0,Southpaw,False,False,False,False,False,False,False,False,31-35,21-25,5.08,15.24,9.0
Joey Beltran,Tim Hague,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,U-DEC,,3.0,False,Heavyweight,3.0,0.0,190.0,28.0,Orthodox,-230.0,26.0,Orthodox,False,False,False,False,False,False,True,False,26-30,26-30,-7.62,-2.54,2.0
Josh Koscheck,Paul Daley,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,U-DEC,,3.0,False,Welterweight,3.0,0.0,-250.0,32.0,Orthodox,230.0,27.0,Orthodox,False,False,False,False,False,False,False,True,31-35,26-30,2.54,-7.62,5.0
Kevin Ferguson,Matt Mitrione,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,KO/TKO,Punches,2.0,False,Heavyweight,3.0,0.0,-103.0,36.0,Orthodox,-107.0,31.0,Switch,False,False,False,False,False,False,True,True,36-40,31-35,-2.54,-5.08,5.0
Lyoto Machida,Mauricio Rua,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,KO/TKO,Punches,1.0,True,Light Heavyweight,5.0,0.0,-190.0,31.0,Southpaw,175.0,28.0,Orthodox,False,False,False,False,False,False,True,False,31-35,26-30,0.0,-5.08,3.0
Marcus Davis,Jonathan Goulet,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,KO/TKO,Punches,2.0,False,Welterweight,3.0,0.0,-440.0,36.0,Southpaw,350.0,30.0,Orthodox,False,False,False,False,False,False,False,False,36-40,26-30,-5.08,-7.62,6.0
Patrick Cote,Alan Belcher,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,SUB,Rear Naked Choke,2.0,False,Middleweight,3.0,0.0,107.0,30.0,Orthodox,-117.0,26.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,-7.62,-5.08,4.0
Sam Stout,Jeremy Stephens,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,S-DEC,,3.0,False,Lightweight,3.0,0.0,-190.0,26.0,Orthodox,175.0,23.0,Orthodox,False,False,False,False,False,False,False,False,26-30,21-25,2.54,-2.54,3.0
TJ Grant,Johny Hendricks,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,M-DEC,,3.0,False,Welterweight,3.0,0.0,325.0,26.0,Orthodox,-400.0,26.0,Southpaw,False,False,False,False,False,False,False,True,26-30,26-30,2.54,7.62,0.0
Tom Lawlor,Joe Doerksen,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,SUB,Rear Naked Choke,2.0,False,Middleweight,3.0,0.0,-600.0,26.0,Southpaw,450.0,32.0,Orthodox,False,False,False,False,False,False,False,False,26-30,31-35,0.0,-2.54,-6.0
Yoshiyuki Yoshida,Mike Guymon,2010-05-08,5,2010,MALE,Montreal,Quebec,Canada,U-DEC,,3.0,False,Welterweight,3.0,0.0,-255.0,35.0,Southpaw,215.0,35.0,Orthodox,False,False,False,False,False,False,False,False,31-35,31-35,-2.54,-10.16,0.0
Aaron Riley,Joe Brammer,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,U-DEC,,3.0,False,Lightweight,3.0,0.0,-200.0,29.0,Southpaw,170.0,26.0,Orthodox,False,False,False,False,False,False,False,False,26-30,26-30,0.0,-2.54,3.0
Amir Sadollah,Dong Hyun Kim,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,U-DEC,,3.0,False,Welterweight,3.0,0.0,100.0,29.0,Orthodox,-110.0,28.0,Southpaw,False,False,False,False,False,False,False,False,26-30,26-30,-10.16,-5.08,1.0
Diego Sanchez,John Hathaway,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,U-DEC,,3.0,False,Welterweight,3.0,0.0,-215.0,28.0,Southpaw,195.0,22.0,Orthodox,False,False,False,False,False,False,False,True,26-30,21-25,-7.62,-7.62,6.0
Efrain Escudero,Dan Lauzon,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,U-DEC,,3.0,False,Lightweight,3.0,0.0,-400.0,24.0,Orthodox,355.0,22.0,Orthodox,False,False,False,False,False,False,False,False,21-25,21-25,-2.54,-5.2,2.0
Jason Brilz,Rogerio Nogueira,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,S-DEC,,3.0,False,Light Heavyweight,3.0,0.0,435.0,34.0,Orthodox,-500.0,33.0,Southpaw,False,False,False,False,False,False,False,True,31-35,31-35,-7.62,-10.16,1.0
Jesse Forbes,Ryan Jensen,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,SUB,Guillotine Choke,1.0,False,Middleweight,3.0,0.0,-150.0,25.0,Southpaw,130.0,32.0,Orthodox,False,False,False,False,False,False,False,False,21-25,31-35,2.54,-2.54,-7.0
Luiz Cane,Cyrille Diabate,2010-05-29,5,2010,MALE,Las Vegas,Nevada,USA,KO/TKO,Punches,1.0,False,Light Heavyweight,3.0,0.0,-310.0,29.0,Southpaw,255.0,36.0,Southpaw,False,False,False,False,False,False,False,True,26-30,36-40,-10.16,-10.16,-7.0
