"fighter","fights","wins","win_pct","avg_sig_str_rate","rank_sigstr","avg_td_landed","rank_td_landed","avg_ctrl_time_s","rank_ctrl_time","avg_avgkd","rank_avgkd","overall_rank"
"Roland Delorme","7","3","0.43","0.454","357","1.64","146","119.6","339","0.36","169","365"
"Tom Niinimaki","6","1","0.17","0.618","18","2.58","50","335.4","25","0.00","552","366"
"Cody Garbrandt","10","7","0.70","0.371","642","0.59","457","16.6","710","1.07","5","367"
"Dylan Andrews","5","2","0.40","0.608","23","0.85","358","45.1","620","0.37","146","368"
"Leandro Silva","7","3","0.43","0.534","107","1.27","246","134.5","296","0.00","552","369"
"Junior Dos Santos","19","11","0.58","0.481","247","0.26","615","22.2","695","0.61","52","369"
"Chas Skelly","12","8","0.67","0.367","655","0.83","367","154.7","254","0.08","515","371"
"John Makdessi","17","10","0.59","0.512","157","0.00","697","13.6","721","0.40","132","372"
"Diego Nunes","6","3","0.50","0.468","299","0.56","473","100.8","402","0.32","202","373"
"Patrick Cote","12","6","0.50","0.473","275","0.65","428","134.0","301","0.17","391","374"
"Ildemar Alcantara","7","4","0.57","0.416","502","1.99","109","134.9","294","0.00","552","375"
"Roosevelt Roberts","7","4","0.57","0.465","309","0.65","429","134.4","297","0.00","552","376"
"Pedro Munhoz","16","11","0.69","0.412","508","0.41","530","35.2","651","0.29","227","377"
"Tanner Boser","5","3","0.60","0.558","78","0.00","697","0.8","742","0.15","417","378"
"Chad Laprise","11","7","0.64","0.424","466","0.51","495","63.5","553","0.25","268","378"
"Mike Pyle","17","9","0.53","0.459","339","0.99","312","91.9","436","0.24","290","380"
"Marco Beltran","5","3","0.60","0.428","456","0.52","490","140.9","284","0.12","455","381"
"Alexander Gustafsson","16","9","0.56","0.388","603","1.13","275","108.8","376","0.61","53","381"
"Kiichi Kunimoto","5","3","0.60","0.460","337","0.43","525","114.9","354","0.00","552","383"
"Keita Nakamura","8","4","0.50","0.357","671","1.98","110","156.1","251","0.43","117","384"
"Kenny Robertson","9","4","0.44","0.514","152","0.72","408","152.7","260","0.14","438","385"
"Wilson Reis","14","8","0.57","0.318","718","3.69","14","278.2","54","0.00","552","386"
"Vladimir Matyushenko","6","3","0.50","0.444","386","1.56","170","117.3","343","0.13","451","387"
"Rich Attonito","5","3","0.60","0.404","548","0.47","504","116.2","345","0.27","248","388"
"Alexis Davis","12","7","0.58","0.439","412","0.55","478","212.9","124","0.00","552","389"
"Nina Ansaroff","7","4","0.57","0.488","226","0.27","610","140.5","286","0.00","552","390"
"Ben Rothwell","14","8","0.57","0.435","428","0.54","483","109.1","373","0.27","259","391"
"Elizeu Zaleski dos Santos","11","8","0.73","0.405","543","0.35","573","68.9","531","0.17","384","392"
"Jake Shields","7","4","0.57","0.369","647","1.63","149","280.6","52","0.00","552","393"
"Oskar Piechota","6","2","0.33","0.563","74","0.47","505","115.1","353","0.63","47","394"
"Tim Elliott","15","6","0.40","0.469","292","2.86","42","172.6","195","0.07","535","395"
"Alex Caceres","23","13","0.57","0.486","232","0.42","527","84.3","467","0.16","398","396"
"Caio Magalhaes","7","4","0.57","0.412","510","0.70","412","131.2","308","0.23","297","397"
"Michael Bisping","19","13","0.68","0.369","645","0.79","384","55.6","585","0.25","278","398"
"Daniel Kelly","10","6","0.60","0.411","512","1.17","273","105.6","387","0.00","552","399"
"Thomas Almeida","10","6","0.60","0.479","257","0.00","697","3.3","741","0.32","205","400"
"Serghei Spivac","5","3","0.60","0.421","483","1.35","222","74.9","498","0.00","552","401"
"Darren Stewart","10","5","0.50","0.464","315","0.86","352","85.8","459","0.20","343","402"
"Jason Saggo","7","3","0.43","0.442","395","1.75","134","190.7","165","0.13","446","403"
"Tarec Saffiedine","7","2","0.29","0.507","180","0.56","474","176.7","189","1.26","1","404"
"Anthony Perosh","9","5","0.56","0.462","331","0.80","379","84.0","468","0.16","402","405"
"Magomed Mustafaev","6","3","0.50","0.537","101","0.00","697","43.3","625","0.31","213","406"
"Jonathan Brookins","5","2","0.40","0.458","346","1.55","172","318.3","30","0.00","552","407"
"Martin Kampmann","8","4","0.50","0.401","557","0.75","401","164.9","220","0.36","168","407"
"Renato Moicano","10","6","0.60","0.460","336","0.74","406","31.0","658","0.09","499","409"
"Sergio Pettis","14","9","0.64","0.397","564","0.96","327","85.8","460","0.07","531","410"
"Andre Fili","16","9","0.56","0.383","619","1.79","129","100.4","404","0.24","287","411"
"Felice Herrig","9","5","0.56","0.424","465","0.91","341","190.9","164","0.00","552","412"
"John Moraga","14","8","0.57","0.437","416","0.48","503","99.8","406","0.20","345","413"
