finish,finishdetails,winner,finishround,totalfighttimesecs
KO/TKO,Elbows,Red,2.0,496.0
SUB,Kimura,Red,2.0,475.0
SUB,Guillotine Choke,Red,1.0,123.0
KO/TKO,Flying Knee,Blue,1.0,51.0
SUB,Other - Choke,Blue,3.0,873.0
SUB,Kneebar,Red,1.0,119.0
KO/TKO,Punch,Blue,1.0,114.0
SUB,Triangle Choke,Red,1.0,153.0
KO/TKO,Punches,Red,1.0,235.0
KO/TKO,Knee,Blue,1.0,217.0
SUB,Guillotine Choke,Red,2.0,567.0
SUB,Kimura,Red,1.0,225.0
KO/TKO,Punch,Red,3.0,753.0
KO/TKO,Punches,Blue,1.0,260.0
SUB,Rear Naked Choke,Blue,2.0,573.0
SUB,Injury,Red,1.0,202.0
KO/TKO,Punch,Red,1.0,88.0
KO/TKO,Punch,Red,1.0,179.0
KO/TKO,Knees,Red,1.0,178.0
KO/TKO,Kick,Red,1.0,205.0
SUB,Rear Naked Choke,Red,2.0,528.0
SUB,Guillotine Choke,Red,2.0,560.0
KO/TKO,Punch,Red,1.0,21.0
KO/TKO,Punches,Red,2.0,329.0
KO/TKO,Kick,Red,2.0,402.0
SUB,Rear Naked Choke,Red,1.0,267.0
SUB,Rear Naked Choke,Blue,1.0,95.0
KO/TKO,Punch,Red,2.0,401.0
KO/TKO,Punches,Red,2.0,414.0
SUB,Rear Naked Choke,Blue,1.0,165.0
SUB,Guillotine Choke,Red,1.0,48.0
SUB,Guillotine Choke,Red,1.0,210.0
KO/TKO,Punch,Blue,1.0,54.0
SUB,Kneebar,Blue,2.0,404.0
KO/TKO,,Red,1.0,300.0
KO/TKO,Punches,Blue,2.0,587.0
KO/TKO,Punch,Blue,2.0,388.0
KO/TKO,Punch,Red,1.0,152.0
KO/TKO,Knee,Red,3.0,735.0
KO/TKO,Punches,Red,1.0,135.0
KO/TKO,Knee,Blue,3.0,757.0
SUB,Rear Naked Choke,Blue,1.0,198.0
SUB,Other - Lock,Red,2.0,599.0
KO/TKO,Elbows,Blue,2.0,507.0
KO/TKO,Punch,Red,1.0,95.0
KO/TKO,,Blue,2.0,600.0
SUB,Guillotine Choke,Blue,2.0,550.0
SUB,Guillotine Choke,Blue,3.0,744.0
KO/TKO,Elbow,Red,1.0,90.0
KO/TKO,Punch,Red,1.0,162.0
SUB,Triangle Choke,Red,1.0,97.0
KO/TKO,Spinning Back Fist,Red,3.0,687.0
KO/TKO,Kick,Red,2.0,365.0
KO/TKO,Punch,Red,1.0,20.0
SUB,Triangle Choke,Blue,1.0,271.0
KO/TKO,Punch,Red,2.0,569.0
SUB,Rear Naked Choke,Red,2.0,508.0
KO/TKO,Punch,Blue,1.0,251.0
KO/TKO,Punch,Red,1.0,48.0
KO/TKO,Punch,Blue,3.0,794.0
KO/TKO,Punches,Blue,1.0,234.0
SUB,Rear Naked Choke,Red,3.0,717.0
KO/TKO,Punch,Red,1.0,241.0
KO/TKO,Punches,Red,2.0,499.0
SUB,Guillotine Choke,Blue,1.0,294.0
KO/TKO,Punches,Red,3.0,686.0
SUB,Rear Naked Choke,Red,3.0,813.0
KO/TKO,Punch,Blue,1.0,232.0
KO/TKO,Punch,Red,1.0,159.0
KO/TKO,Punches,Blue,2.0,568.0
SUB,Kimura,Red,1.0,118.0
KO/TKO,Punches,Red,1.0,282.0
KO/TKO,Punches,Red,1.0,281.0
KO/TKO,Flying Knee,Red,1.0,178.0
KO/TKO,Punch,Blue,1.0,59.0
KO/TKO,Punch,Red,1.0,132.0
SUB,Guillotine Choke,Red,1.0,116.0
KO/TKO,Punches,Blue,1.0,27.0
KO/TKO,Elbows,Blue,1.0,268.0
KO/TKO,Punches,Blue,2.0,514.0
KO/TKO,Knee,Red,2.0,588.0
KO/TKO,Punches,Red,1.0,234.0
KO/TKO,Punches,Red,1.0,112.0
KO/TKO,Punches,Blue,2.0,518.0
SUB,Guillotine Choke,Red,2.0,458.0
SUB,Guillotine Choke,Blue,3.0,856.0
KO/TKO,Punches,Red,1.0,181.0
SUB,Heel Hook,Red,1.0,255.0
KO/TKO,Punches,Red,2.0,350.0
SUB,Rear Naked Choke,Red,2.0,492.0
KO/TKO,Punches,Red,2.0,424.0
KO/TKO,Punch,Red,1.0,40.0
KO/TKO,Punches,Red,1.0,113.0
KO/TKO,Punches,Red,2.0,471.0
KO/TKO,Punches,Red,1.0,228.0
SUB,Rear Naked Choke,Blue,2.0,372.0
SUB,Rear Naked Choke,Blue,2.0,529.0
KO/TKO,Knee,Blue,1.0,53.0
SUB,Rear Naked Choke,Red,1.0,160.0
SUB,Triangle Choke,Red,1.0,232.0
KO/TKO,Punches,Blue,1.0,299.0
SUB,Armbar,Red,1.0,267.0
KO/TKO,Punches,Red,2.0,570.0
KO/TKO,Kick,Red,1.0,169.0
KO/TKO,,Red,2.0,600.0
SUB,Heel Hook,Blue,1.0,180.0
KO/TKO,Knee,Red,2.0,592.0
SUB,Triangle Choke,Blue,2.0,502.0
SUB,Armbar,Blue,3.0,732.0
KO/TKO,Punches,Red,1.0,77.0
KO/TKO,Kick,Red,2.0,464.0
SUB,Arm Triangle,Red,2.0,531.0
KO/TKO,Punches,Red,4.0,1134.0
SUB,Rear Naked Choke,Blue,1.0,47.0
SUB,Rear Naked Choke,Blue,1.0,142.0
KO/TKO,Punches,Blue,1.0,165.0
SUB,Rear Naked Choke,Blue,1.0,249.0
KO/TKO,Knee,Blue,1.0,40.0
SUB,Rear Naked Choke,Blue,2.0,489.0
SUB,Guillotine Choke,Red,1.0,17.0
SUB,Rear Naked Choke,Red,1.0,212.0
M-DEC,,Red,3.0,900.0
SUB,Arm Triangle,Blue,2.0,436.0
KO/TKO,Punch,Red,1.0,94.0
SUB,D'Arce Choke,Red,2.0,392.0
KO/TKO,Punches,Red,1.0,292.0
SUB,Guillotine Choke,Blue,2.0,342.0
KO/TKO,Punches,Red,1.0,56.0
KO/TKO,Punch,Red,1.0,77.0
SUB,D'Arce Choke,Blue,1.0,127.0
SUB,Guillotine Choke,Red,2.0,387.0
KO/TKO,Knee,Red,2.0,589.0
SUB,Rear Naked Choke,Red,2.0,518.0
SUB,Armbar,Red,1.0,291.0
KO/TKO,Punches,Blue,1.0,69.0
KO/TKO,Knees,Blue,3.0,718.0
KO/TKO,Knees,Red,3.0,814.0
SUB,Rear Naked Choke,Red,3.0,622.0
KO/TKO,Punches,Blue,1.0,114.0
SUB,Rear Naked Choke,Blue,1.0,178.0
SUB,Guillotine Choke,Red,2.0,566.0
KO/TKO,Punches,Blue,1.0,35.0
KO/TKO,Punch,Blue,1.0,7.0
KO/TKO,Punches,Blue,2.0,576.0
KO/TKO,Elbows,Blue,2.0,370.0
KO/TKO,Punches,Blue,1.0,195.0
KO/TKO,Kick,Blue,1.0,146.0
KO/TKO,Punch,Blue,1.0,12.0
KO/TKO,Punch,Blue,1.0,133.0
KO/TKO,Kick,Red,3.0,722.0
DQ,,Blue,1.0,29.0
SUB,Rear Naked Choke,Red,1.0,202.0
KO/TKO,Knee,Red,1.0,299.0
KO/TKO,Knees,Blue,1.0,82.0
SUB,Heel Hook,Red,1.0,63.0
SUB,Rear Naked Choke,Red,1.0,289.0
SUB,Rear Naked Choke,Red,1.0,97.0
SUB,Guillotine Choke,Blue,1.0,184.0
SUB,Rear Naked Choke,Red,1.0,243.0
KO/TKO,Punches,Red,2.0,391.0
KO/TKO,Elbows,Blue,1.0,22.0
SUB,Rear Naked Choke,Blue,3.0,728.0
SUB,Rear Naked Choke,Blue,1.0,184.0
KO/TKO,Punch,Red,1.0,218.0
SUB,Other - Lock,Red,1.0,103.0
SUB,Guillotine Choke,Red,3.0,668.0
KO/TKO,Punch,Red,2.0,442.0
KO/TKO,Punches,Blue,1.0,264.0
KO/TKO,Kick,Blue,1.0,253.0
SUB,Armbar,Red,1.0,203.0
SUB,Rear Naked Choke,Red,2.0,403.0
KO/TKO,Punches,Red,2.0,379.0
SUB,Rear Naked Choke,Red,1.0,225.0
KO/TKO,Punches,Red,1.0,92.0
KO/TKO,Punches,Red,2.0,532.0
KO/TKO,Punch,Red,1.0,43.0
KO/TKO,Kick,Red,1.0,81.0
KO/TKO,Punches,Red,1.0,131.0
SUB,Armbar,Blue,1.0,269.0
KO/TKO,Punches,Red,2.0,441.0
KO/TKO,Punches,Blue,3.0,654.0
KO/TKO,Punch,Blue,2.0,332.0
KO/TKO,Punches,Red,1.0,299.0
KO/TKO,Punches,Red,1.0,128.0
KO/TKO,Punch,Red,2.0,311.0
SUB,Armbar,Blue,1.0,125.0
KO/TKO,Punches,Blue,2.0,533.0
SUB,Armbar,Red,1.0,55.0
SUB,Guillotine Choke,Blue,3.0,852.0
SUB,Rear Naked Choke,Red,2.0,545.0
KO/TKO,Punch,Red,1.0,146.0
SUB,Armbar,Blue,2.0,580.0
SUB,Rear Naked Choke,Red,2.0,402.0
SUB,Rear Naked Choke,Blue,1.0,273.0
KO/TKO,Punch,Blue,1.0,42.0
SUB,Guillotine Choke,Red,2.0,388.0
SUB,Rear Naked Choke,Red,2.0,456.0
KO/TKO,Punch,Blue,1.0,70.0
KO/TKO,Punch,Blue,1.0,198.0
KO/TKO,Punches,Red,2.0,440.0
SUB,Arm Triangle,Red,1.0,149.0
SUB,Guillotine Choke,Red,2.0,594.0
SUB,Rear Naked Choke,Blue,2.0,367.0
SUB,Guillotine Choke,Red,2.0,549.0
KO/TKO,Punches,Blue,1.0,278.0
SUB,Rear Naked Choke,Red,1.0,299.0
KO/TKO,Punches,Blue,1.0,258.0
SUB,D'Arce Choke,Red,4.0,967.0
SUB,Guillotine Choke,Red,1.0,185.0
KO/TKO,Punch,Blue,1.0,50.0
SUB,Rear Naked Choke,Red,1.0,100.0
KO/TKO,Punches,Red,1.0,216.0
KO/TKO,Punch,Red,1.0,231.0
KO/TKO,Punches,Blue,1.0,203.0
SUB,Triangle Choke,Blue,1.0,114.0
KO/TKO,Punch,Red,2.0,484.0
SUB,Arm Triangle,Blue,1.0,113.0
KO/TKO,Punch,Red,1.0,51.0
SUB,Armbar,Red,1.0,65.0
KO/TKO,Elbows,Red,2.0,494.0
KO/TKO,Knee,Blue,2.0,473.0
KO/TKO,Knee,Blue,2.0,400.0
KO/TKO,Knee,Red,1.0,119.0
SUB,Armbar,Blue,1.0,258.0
SUB,Guillotine Choke,Blue,2.0,462.0
KO/TKO,Kick,Red,3.0,619.0
SUB,Rear Naked Choke,Red,1.0,167.0
SUB,Guillotine Choke,Red,1.0,243.0
SUB,Rear Naked Choke,Red,1.0,201.0
KO/TKO,Punch,Red,2.0,550.0
SUB,Rear Naked Choke,Red,1.0,273.0
KO/TKO,Punch,Red,1.0,296.0
KO/TKO,Punches,Red,1.0,66.0
SUB,Guillotine Choke,Red,3.0,792.0
S-DEC,,Red,5.0,1500.0
KO/TKO,Knees,Red,2.0,560.0
KO/TKO,,Blue,3.0,711.0
KO/TKO,Punch,Red,1.0,149.0
KO/TKO,Punch,Blue,2.0,554.0
SUB,Guillotine Choke,Red,1.0,167.0
SUB,Rear Naked Choke,Blue,1.0,132.0
KO/TKO,Punches,Blue,1.0,261.0
KO/TKO,Punch,Red,1.0,148.0
KO/TKO,Punches,Red,3.0,664.0
KO/TKO,Punch,Red,3.0,641.0
KO/TKO,Punch,Red,2.0,415.0
KO/TKO,Punch,Red,1.0,31.0
KO/TKO,,Blue,1.0,47.0
SUB,Triangle Choke,Blue,2.0,387.0
SUB,Rear Naked Choke,Blue,2.0,399.0
KO/TKO,Elbow,Blue,2.0,397.0
KO/TKO,Kick,Blue,2.0,592.0
KO/TKO,Punch,Red,2.0,325.0
SUB,Rear Naked Choke,Red,1.0,153.0
KO/TKO,Punch,Red,1.0,71.0
SUB,Rear Naked Choke,Red,3.0,699.0
SUB,Triangle Choke,Red,3.0,764.0
KO/TKO,Elbow,Red,1.0,226.0
SUB,North-South Choke,Blue,1.0,195.0
KO/TKO,Punch,Red,2.0,392.0
KO/TKO,Punches,Red,4.0,1149.0
KO/TKO,Punch,Red,2.0,380.0
SUB,Other - Lock,Red,2.0,556.0
SUB,Guillotine Choke,Red,1.0,283.0
KO/TKO,Kick,Red,1.0,76.0
KO/TKO,Punch,Blue,2.0,436.0
KO/TKO,Punch,Blue,2.0,589.0
KO/TKO,Punch,Blue,1.0,17.0
KO/TKO,Punches,Red,1.0,225.0
KO/TKO,Punches,Red,2.0,485.0
KO/TKO,Punch,Red,1.0,160.0
SUB,Armbar,Blue,2.0,374.0
SUB,Keylock,Red,4.0,954.0
S-DEC,,Blue,5.0,1500.0
KO/TKO,Punch,Red,1.0,45.0
SUB,Rear Naked Choke,Red,1.0,69.0
KO/TKO,Punch,Red,1.0,250.0
KO/TKO,Punch,Red,1.0,220.0
KO/TKO,,Red,1.0,148.0
SUB,Rear Naked Choke,Blue,1.0,214.0
KO/TKO,Punch,Blue,1.0,23.0
SUB,Armbar,Blue,1.0,228.0
KO/TKO,Punches,Red,2.0,530.0
KO/TKO,Punch,Blue,2.0,329.0
SUB,Rear Naked Choke,Red,1.0,158.0
KO/TKO,Punch,Red,2.0,575.0
SUB,Guillotine Choke,Blue,1.0,45.0
KO/TKO,Punch,Red,2.0,366.0
KO/TKO,Punch,Blue,1.0,207.0
KO/TKO,Knee,Red,1.0,280.0
SUB,Rear Naked Choke,Red,1.0,150.0
SUB,Anaconda Choke,Red,2.0,569.0
KO/TKO,Punch,Red,2.0,556.0
SUB,Rear Naked Choke,Red,3.0,790.0
KO/TKO,Punch,Blue,1.0,137.0
SUB,Rear Naked Choke,Red,1.0,144.0
SUB,Armbar,Red,1.0,164.0
KO/TKO,Punch,Red,1.0,46.0
DQ,,Red,1.0,86.0
KO/TKO,Kick,Red,2.0,477.0
KO/TKO,Knees,Blue,2.0,536.0
KO/TKO,Punches,Blue,2.0,451.0
KO/TKO,Punch,Red,1.0,115.0
KO/TKO,Punch,Blue,3.0,641.0
KO/TKO,Punches,Red,1.0,218.0
KO/TKO,Punch,Blue,1.0,275.0
SUB,D'Arce Choke,Red,1.0,255.0
KO/TKO,Punch,Red,2.0,360.0
KO/TKO,Knee,Red,1.0,115.0
SUB,Armbar,Red,3.0,851.0
KO/TKO,Punch,Red,2.0,326.0
KO/TKO,Punch,Blue,1.0,245.0
KO/TKO,Punch,Red,1.0,178.0
SUB,Triangle Choke,Red,2.0,364.0
KO/TKO,Slam,Blue,1.0,135.0
SUB,Guillotine Choke,Blue,3.0,671.0
KO/TKO,Punches,Red,1.0,230.0
KO/TKO,Punches,Blue,1.0,124.0
KO/TKO,Punches,Red,1.0,158.0
SUB,Arm Triangle,Red,2.0,410.0
SUB,Guillotine Choke,Red,2.0,361.0
KO/TKO,Elbows,Blue,1.0,115.0
KO/TKO,Kick,Red,2.0,387.0
SUB,Kneebar,Blue,2.0,459.0
KO/TKO,Kick,Red,1.0,155.0
KO/TKO,Elbows,Blue,2.0,452.0
KO/TKO,,Blue,2.0,528.0
SUB,Arm Triangle,Red,3.0,733.0
SUB,Guillotine Choke,Red,1.0,50.0
KO/TKO,Elbows,Red,1.0,291.0
KO/TKO,Punches,Blue,3.0,625.0
SUB,Rear Naked Choke,Blue,3.0,710.0
KO/TKO,Punches,Blue,2.0,560.0
SUB,Rear Naked Choke,Blue,3.0,865.0
KO/TKO,Punch,Red,1.0,36.0
SUB,Arm Triangle,Red,4.0,1137.0
KO/TKO,Knee,Red,2.0,582.0
KO/TKO,Punches,Blue,1.0,237.0
SUB,Kneebar,Red,1.0,177.0
SUB,Rear Naked Choke,Red,2.0,449.0
SUB,Armbar,Red,1.0,289.0
SUB,Rear Naked Choke,Red,1.0,274.0
KO/TKO,Knee,Blue,2.0,540.0
KO/TKO,Punch,Blue,3.0,704.0
KO/TKO,Punch,Red,2.0,548.0
KO/TKO,Punch,Blue,1.0,186.0
KO/TKO,Punches,Blue,1.0,282.0
KO/TKO,Punch,Red,1.0,180.0
KO/TKO,Punch,Red,1.0,185.0
KO/TKO,Kick,Red,2.0,326.0
SUB,Arm Triangle,Red,1.0,207.0
KO/TKO,Punches,Blue,1.0,67.0
KO/TKO,Punches,Red,1.0,19.0
SUB,Guillotine Choke,Blue,2.0,365.0
SUB,D'Arce Choke,Red,3.0,693.0
KO/TKO,Punches,Blue,2.0,525.0
SUB,Rear Naked Choke,Red,1.0,191.0
KO/TKO,Elbow,Blue,3.0,833.0
SUB,Rear Naked Choke,Red,1.0,263.0
KO/TKO,Punch,Red,1.0,202.0
KO/TKO,Knee,Red,2.0,437.0
SUB,Kimura,Blue,1.0,95.0
KO/TKO,Knees,Blue,3.0,775.0
KO/TKO,Elbows,Red,1.0,71.0
SUB,Rear Naked Choke,Red,4.0,1096.0
KO/TKO,Punch,Red,2.0,472.0
KO/TKO,Punch,Red,1.0,68.0
KO/TKO,Flying Knee,Blue,1.0,92.0
KO/TKO,Punch,Red,2.0,590.0
KO/TKO,Elbows,Red,2.0,360.0
KO/TKO,Kick,Blue,2.0,524.0
KO/TKO,Punch,Blue,2.0,362.0
KO/TKO,Punches,Red,1.0,262.0
SUB,Guillotine Choke,Red,3.0,884.0
M-DEC,,Blue,3.0,633.0
KO/TKO,Punches,Red,1.0,273.0
U-DEC,,Red,3.0,871.0
KO/TKO,Punch,Red,1.0,123.0
KO/TKO,,Red,1.0,152.0
KO/TKO,Punches,Red,1.0,246.0
SUB,Arm Triangle,Red,1.0,188.0
SUB,Guillotine Choke,Red,2.0,454.0
KO/TKO,Punch,Red,1.0,151.0
SUB,Arm Triangle,Red,1.0,217.0
KO/TKO,Punch,Red,2.0,367.0
KO/TKO,Punch,Red,3.0,613.0
KO/TKO,Kick,Red,1.0,152.0
KO/TKO,Punch,Blue,2.0,403.0
KO/TKO,Punch,Red,1.0,81.0
SUB,Guillotine Choke,Red,1.0,158.0
KO/TKO,Punches,Blue,1.0,127.0
KO/TKO,Kick,Red,3.0,858.0
SUB,Kneebar,Red,1.0,112.0
SUB,Rear Naked Choke,Red,2.0,469.0
SUB,Arm Triangle,Red,1.0,140.0
SUB,Armbar,Red,1.0,71.0
KO/TKO,Elbows,Blue,1.0,212.0
SUB,Armbar,Red,2.0,411.0
SUB,Triangle Choke,Red,1.0,84.0
KO/TKO,Punches,Blue,1.0,59.0
SUB,Guillotine Choke,Blue,3.0,887.0
KO/TKO,Punch,Blue,2.0,378.0
KO/TKO,Punches,Red,3.0,744.0
KO/TKO,Kicks,Red,2.0,404.0
KO/TKO,Punch,Red,1.0,17.0
KO/TKO,Knee,Red,2.0,475.0
SUB,Armbar,Red,5.0,1423.0
SUB,Rear Naked Choke,Blue,2.0,469.0
KO/TKO,Punches,Red,2.0,537.0
KO/TKO,Punch,Blue,2.0,467.0
SUB,D'Arce Choke,Blue,2.0,599.0
KO/TKO,Kick,Red,2.0,324.0
KO/TKO,Elbows,Red,1.0,128.0
SUB,Guillotine Choke,Red,1.0,47.0
KO/TKO,Punches,Red,2.0,363.0
KO/TKO,Punches,Red,4.0,1020.0
SUB,Triangle Choke,Red,1.0,193.0
KO/TKO,Punch,Blue,1.0,14.0
KO/TKO,Punch,Red,1.0,96.0
KO/TKO,Kick,Blue,1.0,248.0
SUB,Triangle Choke,Blue,2.0,523.0
KO/TKO,Knee,Red,1.0,29.0
SUB,Guillotine Choke,Blue,1.0,287.0
SUB,Guillotine Choke,Blue,1.0,58.0
KO/TKO,Punch,Red,4.0,954.0
KO/TKO,Punch,Red,3.0,692.0
SUB,Guillotine Choke,Blue,1.0,101.0
KO/TKO,Punch,Blue,1.0,83.0
SUB,Rear Naked Choke,Red,1.0,146.0
KO/TKO,Punches,Red,3.0,714.0
SUB,Armbar,Blue,1.0,281.0
KO/TKO,Punch,Red,3.0,630.0
KO/TKO,Knee,Blue,1.0,116.0
SUB,Guillotine Choke,Blue,1.0,57.0
KO/TKO,Knee,Blue,1.0,238.0
KO/TKO,Punches,Red,3.0,694.0
SUB,Kimura,Blue,2.0,530.0
KO/TKO,Punch,Red,1.0,175.0
KO/TKO,Knee,Red,1.0,187.0
KO/TKO,Punch,Blue,3.0,808.0
KO/TKO,Punch,Blue,1.0,167.0
SUB,D'Arce Choke,Red,1.0,246.0
KO/TKO,Punch,Blue,2.0,387.0
SUB,Guillotine Choke,Red,1.0,245.0
KO/TKO,Punch,Blue,3.0,798.0
KO/TKO,Spinning Back Kick,Red,2.0,335.0
KO/TKO,Punch,Red,1.0,234.0
KO/TKO,Punch,Blue,2.0,481.0
KO/TKO,Punches,Blue,2.0,571.0
SUB,Heel Hook,Red,1.0,31.0
KO/TKO,Punch,Red,5.0,1389.0
KO/TKO,Punches,Blue,2.0,531.0
KO/TKO,Punch,Red,1.0,93.0
KO/TKO,Punch,Blue,2.0,353.0
KO/TKO,Punch,Red,1.0,253.0
KO/TKO,Punch,Blue,1.0,108.0
KO/TKO,Punch,Blue,1.0,180.0
SUB,D'Arce Choke,Red,1.0,112.0
KO/TKO,,Red,2.0,581.0
SUB,Rear Naked Choke,Red,2.0,432.0
KO/TKO,Kick,Red,1.0,190.0
KO/TKO,Punch,Blue,1.0,171.0
KO/TKO,Elbows,Red,1.0,236.0
KO/TKO,Kick,Red,1.0,230.0
SUB,Rear Naked Choke,Blue,2.0,401.0
SUB,Rear Naked Choke,Red,1.0,48.0
KO/TKO,Punch,Blue,2.0,440.0
KO/TKO,Punch,Blue,3.0,699.0
KO/TKO,Punch,Red,1.0,280.0
SUB,Armbar,Red,2.0,469.0
KO/TKO,Punches,Blue,1.0,102.0
KO/TKO,Punches,Blue,3.0,799.0
KO/TKO,Knee,Blue,1.0,130.0
KO/TKO,Kick,Blue,1.0,40.0
KO/TKO,,Blue,1.0,211.0
KO/TKO,Kick,Red,1.0,77.0
KO/TKO,Punch,Blue,2.0,382.0
SUB,Triangle Choke,Red,2.0,529.0
KO/TKO,Punch,Blue,1.0,278.0
KO/TKO,Punches,Red,1.0,245.0
DQ,,Red,1.0,25.0
SUB,Rear Naked Choke,Red,2.0,430.0
KO/TKO,Punches,Blue,1.0,158.0
KO/TKO,Punch,Blue,1.0,43.0
KO/TKO,Punch,Red,1.0,63.0
KO/TKO,Punches,Blue,1.0,129.0
KO/TKO,Punches,Blue,1.0,283.0
KO/TKO,Punches,Red,2.0,395.0
KO/TKO,Punch,Red,1.0,128.0
SUB,Guillotine Choke,Red,2.0,502.0
KO/TKO,,Blue,1.0,300.0
KO/TKO,,Red,2.0,376.0
KO/TKO,Punches,Red,1.0,294.0
KO/TKO,Punch,Blue,2.0,392.0
SUB,Armbar,Red,1.0,222.0
KO/TKO,Elbows,Blue,1.0,60.0
KO/TKO,Punches,Red,3.0,612.0
SUB,Armbar,Red,3.0,658.0
SUB,Armbar,Red,1.0,133.0
DQ,,Red,1.0,177.0
SUB,Arm Triangle,Red,3.0,833.0
SUB,Triangle Choke,Blue,2.0,599.0
KO/TKO,Punch,Red,2.0,447.0
SUB,Rear Naked Choke,Red,2.0,350.0
SUB,Rear Naked Choke,Blue,1.0,105.0
SUB,Rear Naked Choke,Red,2.0,414.0
