r_fighter,gender,weightclass,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,r_record,r_losses,r_draws,r_wins,r_winbydecisionmajority,r_winbydecisionunanimous,r_winsbydecisionmajority,r_winsbydecisionsplit,r_winsbydecisionunanimous,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,r_matchwcrank,r_pfprank
Calvin Kattar,MALE,Featherweight,32.0,Orthodox,180.34,182.88,145.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,1.0,0.0,,1.0,4.0,0.0,0.0,6.0,
Diana Belbita,FEMALE,Women's Flyweight,24.0,Orthodox,170.18,172.72,125.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Jack Shore,MALE,Bantamweight,25.0,Orthodox,172.72,180.34,135.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Jared Gordon,MALE,Featherweight,31.0,Orthodox,175.26,172.72,145.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,,
Jimmie Rivera,MALE,Featherweight,31.0,Orthodox,162.56,172.72,145.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,4.0,0.0,,4.0,1.0,0.0,0.0,,
John Phillips,MALE,Middleweight,35.0,Southpaw,180.34,190.5,185.0,1.0-3.0-0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Modestas Bukauskas,MALE,Light Heavyweight,26.0,Switch,190.5,190.5,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Molly McCann,FEMALE,Women's Flyweight,30.0,Orthodox,162.56,157.48,125.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,15.0,
Ricardo Ramos,MALE,Featherweight,24.0,Orthodox,175.26,182.88,145.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,2.0,0.0,,2.0,1.0,1.0,0.0,,
Tim Elliott,MALE,Flyweight,33.0,Southpaw,170.18,167.64,125.0,4.0-9.0-0.0,9.0,0.0,4.0,0.0,3.0,0.0,,3.0,0.0,1.0,0.0,12.0,
Alexandre Pantoja,MALE,Flyweight,30.0,Orthodox,165.1,170.18,125.0,6.0-2.0-0.0,2.0,0.0,6.0,0.0,1.0,0.0,,1.0,2.0,2.0,0.0,,
Ariane Lipski,FEMALE,Women's Flyweight,26.0,Orthodox,167.64,170.18,125.0,1.0-2.0-0.0,2.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Brett Johns,MALE,Bantamweight,28.0,Orthodox,170.18,180.34,135.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,,
Carlos Felipe,MALE,Heavyweight,25.0,Orthodox,182.88,190.5,245.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Davi Ramos,MALE,Lightweight,33.0,Orthodox,167.64,177.8,155.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,0.0,3.0,0.0,,
Deiveson Figueiredo,MALE,Flyweight,32.0,Orthodox,165.1,172.72,125.0,7.0-1.0-0.0,1.0,0.0,7.0,0.0,1.0,0.0,,1.0,4.0,1.0,0.0,1.0,
Grant Dawson,MALE,Catch Weight,26.0,Switch,177.8,182.88,145.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Jack Hermansson,MALE,Middleweight,32.0,Orthodox,185.42,195.58,185.0,7.0-3.0-0.0,3.0,0.0,7.0,0.0,2.0,0.0,,2.0,3.0,2.0,0.0,6.0,
Joe Duffy,MALE,Lightweight,32.0,Orthodox,177.8,185.42,155.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,1.0,0.0,,1.0,1.0,2.0,0.0,,
Malcolm Gordon,MALE,Flyweight,30.0,Switch,170.18,180.34,125.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Marc Diakiese,MALE,Lightweight,27.0,Orthodox,177.8,185.42,155.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,3.0,0.0,,3.0,2.0,0.0,0.0,,
Roman Dolidze,MALE,Light Heavyweight,32.0,Orthodox,187.96,193.04,205.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Alex Oliveira,MALE,Welterweight,32.0,Orthodox,180.34,193.04,170.0,10.0-6.0-0.0,6.0,0.0,10.0,0.0,2.0,0.0,,2.0,4.0,3.0,0.0,,
Bethe Correia,FEMALE,Women's Bantamweight,37.0,Orthodox,165.1,162.56,135.0,5.0-4.0-1.0,4.0,1.0,5.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,13.0,
Carla Esparza,FEMALE,Women's Strawweight,32.0,Orthodox,154.94,160.02,115.0,7.0-4.0-0.0,4.0,0.0,7.0,1.0,4.0,1.0,,4.0,0.0,1.0,0.0,7.0,
Fabricio Werdum,MALE,Heavyweight,42.0,Orthodox,193.04,195.58,231.0,22.0-9.0-0.0,9.0,0.0,22.0,0.0,4.0,0.0,,6.0,6.0,10.0,0.0,14.0,
