r_fighter,gender,weightclass,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,r_record,r_losses,r_draws,r_wins,r_winbydecisionmajority,r_winbydecisionunanimous,r_winsbydecisionmajority,r_winsbydecisionsplit,r_winsbydecisionunanimous,r_winsbyko,r_winsbysubmission,r_winsbytkodoctorstoppage,r_matchwcrank,r_pfprank
Jussier Formiga,MALE,Flyweight,28.0,Orthodox,165.1,170.18,125.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Lucas Martins,MALE,Lightweight,24.0,Southpaw,182.88,182.88,145.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Paulo Thiago,MALE,Welterweight,32.0,Orthodox,180.34,185.42,170.0,4.0-5.0-0.0,5.0,0.0,4.0,0.0,2.0,0.0,,2.0,1.0,1.0,0.0,,
Rafael Dos Anjos,MALE,Lightweight,28.0,Southpaw,172.72,177.8,170.0,7.0-4.0-0.0,4.0,0.0,7.0,0.0,4.0,0.0,,4.0,1.0,2.0,0.0,10.0,
Rafael Natal,MALE,Middleweight,30.0,Orthodox,182.88,193.04,185.0,3.0-3.0-0.0,3.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,1.0,0.0,,
Vitor Belfort,MALE,Middleweight,36.0,Southpaw,182.88,187.96,185.0,11.0-6.0-0.0,6.0,0.0,11.0,0.0,0.0,0.0,,0.0,8.0,2.0,1.0,2.0,
Brian Bowles,MALE,Bantamweight,32.0,Orthodox,170.18,177.8,135.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,8.0,
Cain Velasquez,MALE,Heavyweight,30.0,Orthodox,185.42,195.58,240.0,9.0-1.0-0.0,1.0,0.0,9.0,0.0,2.0,0.0,,2.0,7.0,0.0,0.0,0.0,6.0
Colton Smith,MALE,Welterweight,25.0,Orthodox,182.88,180.34,155.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Dennis Bermudez,MALE,Featherweight,26.0,Orthodox,167.64,167.64,155.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Donald Cerrone,MALE,Lightweight,30.0,Orthodox,185.42,185.42,155.0,6.0-2.0-0.0,2.0,0.0,6.0,0.0,2.0,0.0,,2.0,2.0,2.0,0.0,5.0,
Glover Teixeira,MALE,Light Heavyweight,33.0,Orthodox,187.96,193.04,205.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,1.0,1.0,4.0,
Gray Maynard,MALE,Lightweight,34.0,Orthodox,175.26,177.8,155.0,9.0-3.0-0.0,3.0,0.0,9.0,0.0,5.0,0.0,,5.0,1.0,0.0,0.0,3.0,
Jeremy Stephens,MALE,Featherweight,27.0,Orthodox,172.72,180.34,145.0,7.0-8.0-0.0,8.0,0.0,7.0,0.0,2.0,0.0,,2.0,3.0,0.0,1.0,,
Junior Dos Santos,MALE,Heavyweight,29.0,Orthodox,193.04,195.58,238.0,9.0-1.0-0.0,1.0,0.0,9.0,0.0,2.0,0.0,,2.0,7.0,0.0,0.0,1.0,
Khabib Nurmagomedov,MALE,Lightweight,24.0,Orthodox,177.8,177.8,155.0,3.0-0.0-0.0,0.0,0.0,3.0,0.0,1.0,0.0,,1.0,1.0,1.0,0.0,,
Mike Pyle,MALE,Welterweight,37.0,Orthodox,182.88,187.96,170.0,7.0-3.0-0.0,3.0,0.0,7.0,0.0,2.0,0.0,,2.0,3.0,2.0,0.0,,
Stephen Thompson,MALE,Welterweight,30.0,Orthodox,182.88,190.5,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Antonio Braga Neto,MALE,Middleweight,25.0,Orthodox,190.5,195.58,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Caio Magalhaes,MALE,Middleweight,25.0,Orthodox,185.42,185.42,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Daniel Sarafian,MALE,Middleweight,30.0,Orthodox,175.26,185.42,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Erick Silva,MALE,Welterweight,28.0,Orthodox,182.88,187.96,170.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
Godofredo Pepey,MALE,Featherweight,25.0,Orthodox,170.18,185.42,145.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Ildemar Alcantara,MALE,Welterweight,30.0,Orthodox,187.96,198.12,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Minotauro Nogueira,MALE,Heavyweight,37.0,Orthodox,190.5,195.58,240.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,2.0,0.0,,2.0,1.0,2.0,0.0,8.0,
Raphael Assuncao,MALE,Bantamweight,30.0,Orthodox,165.1,167.64,135.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,6.0,
Rodrigo Damm,MALE,Featherweight,33.0,Orthodox,170.18,180.34,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Rony Jason,MALE,Featherweight,29.0,Orthodox,170.18,177.8,145.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Thiago Silva,MALE,Light Heavyweight,30.0,Orthodox,187.96,187.96,205.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,0.0,0.0,,0.0,5.0,0.0,0.0,,
William Patolino,MALE,Welterweight,21.0,Orthodox,180.34,190.5,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Alexis Davis,FEMALE,Women's Bantamweight,28.0,Orthodox,167.64,172.72,125.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,6.0,
Jake Shields,MALE,Welterweight,34.0,Orthodox,182.88,182.88,170.0,2.0-3.0-0.0,3.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Mitch Clarke,MALE,Lightweight,27.0,Orthodox,177.8,185.42,155.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Pat Barry,MALE,Heavyweight,33.0,Orthodox,180.34,187.96,235.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,1.0,0.0,,1.0,4.0,0.0,0.0,,
Rashad Evans,MALE,Light Heavyweight,33.0,Orthodox,182.88,190.5,205.0,12.0-4.0-0.0,4.0,0.0,12.0,1.0,3.0,1.0,,3.0,5.0,0.0,0.0,6.0,
Roland Delorme,MALE,Bantamweight,29.0,Orthodox,175.26,180.34,135.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,
Roy Nelson,MALE,Heavyweight,36.0,Orthodox,182.88,182.88,263.0,6.0-3.0-0.0,3.0,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,0.0,5.0,
Ryan Jimmo,MALE,Light Heavyweight,31.0,Orthodox,185.42,185.42,205.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Sam Stout,MALE,Lightweight,29.0,Orthodox,175.26,177.8,155.0,8.0-7.0-0.0,7.0,0.0,8.0,0.0,4.0,0.0,,4.0,1.0,0.0,0.0,,
Sean Pierson,MALE,Welterweight,37.0,Southpaw,182.88,193.04,170.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,
Yves Jabouin,MALE,Bantamweight,34.0,Orthodox,170.18,172.72,135.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Anderson Silva,MALE,Middleweight,38.0,Southpaw,187.96,195.58,185.0,16.0-0.0-0.0,0.0,0.0,16.0,0.0,2.0,0.0,,2.0,11.0,3.0,0.0,0.0,1.0
Chris Leben,MALE,Middleweight,32.0,Southpaw,180.34,187.96,185.0,12.0-8.0-0.0,8.0,0.0,12.0,0.0,2.0,0.0,,2.0,7.0,2.0,0.0,,
Cub Swanson,MALE,Featherweight,29.0,Orthodox,172.72,177.8,145.0,4.0-1.0-0.0,1.0,0.0,4.0,0.0,1.0,0.0,,1.0,3.0,0.0,0.0,5.0,
Edson Barboza,MALE,Lightweight,27.0,Orthodox,180.34,190.5,155.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,1.0,0.0,,1.0,3.0,0.0,0.0,,
Frankie Edgar,MALE,Featherweight,31.0,Orthodox,167.64,172.72,145.0,9.0-5.0-0.0,5.0,0.0,9.0,0.0,6.0,0.0,,6.0,2.0,1.0,0.0,3.0,10.0
Gabriel Gonzaga,MALE,Heavyweight,34.0,Orthodox,187.96,193.04,242.0,9.0-6.0-0.0,6.0,0.0,9.0,0.0,0.0,0.0,,0.0,5.0,4.0,0.0,,
Mark Munoz,MALE,Middleweight,35.0,Orthodox,182.88,182.88,185.0,7.0-3.0-0.0,3.0,0.0,7.0,0.0,2.0,0.0,,2.0,4.0,0.0,0.0,8.0,
Mike Pierce,MALE,Welterweight,32.0,Orthodox,172.72,177.8,170.0,8.0-3.0-0.0,3.0,0.0,8.0,0.0,4.0,0.0,,4.0,2.0,1.0,0.0,,
Norman Parke,MALE,Lightweight,26.0,Southpaw,180.34,177.8,155.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Seth Baczynski,MALE,Welterweight,31.0,Orthodox,190.5,187.96,170.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,,
Tim Kennedy,MALE,Middleweight,33.0,Orthodox,180.34,187.96,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Aaron Riley,MALE,Lightweight,32.0,Southpaw,172.72,175.26,155.0,3.0-5.0-0.0,5.0,0.0,3.0,0.0,3.0,0.0,,3.0,0.0,0.0,0.0,,
Danny Castillo,MALE,Lightweight,33.0,Orthodox,175.26,180.34,155.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,3.0,0.0,,3.0,1.0,0.0,0.0,,
Demetrious Johnson,MALE,Flyweight,26.0,Orthodox,160.02,167.64,125.0,5.0-2.0-0.0,2.0,0.0,5.0,0.0,4.0,0.0,,4.0,0.0,0.0,0.0,0.0,7.0
Ed Herman,MALE,Middleweight,32.0,Orthodox,185.42,195.58,205.0,7.0-6.0-0.0,6.0,0.0,7.0,0.0,1.0,0.0,,1.0,2.0,4.0,0.0,,
John Albert,MALE,Bantamweight,26.0,Orthodox,172.72,172.72,135.0,1.0-3.0-0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Julie Kedzie,FEMALE,Women's Bantamweight,32.0,Orthodox,165.1,162.56,135.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,8.0,
Liz Carmouche,FEMALE,Women's Bantamweight,29.0,Orthodox,167.64,167.64,125.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,5.0,
Mac Danzig,MALE,Lightweight,33.0,Orthodox,172.72,177.8,155.0,5.0-6.0-0.0,6.0,0.0,5.0,0.0,2.0,0.0,,2.0,1.0,2.0,0.0,,
Michael Chiesa,MALE,Lightweight,25.0,Southpaw,185.42,190.5,170.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,,
Robbie Lawler,MALE,Welterweight,31.0,Southpaw,180.34,187.96,170.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,2.0,0.0,,2.0,3.0,0.0,0.0,9.0,
Rory MacDonald,MALE,Welterweight,24.0,Orthodox,182.88,193.04,170.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,2.0,0.0,,2.0,2.0,1.0,0.0,3.0,
Yves Edwards,MALE,Lightweight,36.0,Southpaw,175.26,185.42,155.0,10.0-7.0-0.0,7.0,0.0,10.0,0.0,2.0,0.0,,2.0,5.0,2.0,0.0,,
Amanda Nunes,FEMALE,Women's Bantamweight,25.0,Orthodox,172.72,175.26,145.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,7.0,
Cezar Ferreira,MALE,Middleweight,28.0,Southpaw,185.42,198.12,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Ednaldo Oliveira,MALE,Light Heavyweight,29.0,Orthodox,195.58,200.66,205.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Ian McCall,MALE,Flyweight,29.0,Orthodox,165.1,162.56,125.0,0.0-3.0-0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,3.0,
John Lineker,MALE,Flyweight,23.0,Orthodox,160.02,170.18,135.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,7.0,
Jose Aldo,MALE,Featherweight,26.0,Orthodox,170.18,177.8,145.0,4.0-0.0-0.0,0.0,0.0,4.0,0.0,3.0,0.0,,3.0,1.0,0.0,0.0,0.0,4.0
Lyoto Machida,MALE,Light Heavyweight,35.0,Southpaw,185.42,187.96,185.0,11.0-3.0-0.0,3.0,0.0,11.0,0.0,5.0,0.0,,5.0,4.0,1.0,0.0,1.0,
Rani Yahya,MALE,Featherweight,28.0,Orthodox,167.64,170.18,135.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,2.0,0.0,,2.0,0.0,1.0,0.0,,
Sergio Moraes,MALE,Welterweight,31.0,Orthodox,182.88,182.88,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Thales Leites,MALE,Middleweight,31.0,Orthodox,185.42,198.12,185.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,1.0,0.0,,1.0,0.0,3.0,0.0,,
Vinny Magalhaes,MALE,Light Heavyweight,29.0,Orthodox,190.5,200.66,205.0,1.0-3.0-0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Viscardi Andrade,MALE,Welterweight,29.0,Orthodox,180.34,190.5,170.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Alistair Overeem,MALE,Heavyweight,33.0,Orthodox,193.04,203.2,265.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,5.0,
Brad Pickett,MALE,Bantamweight,34.0,Orthodox,167.64,172.72,135.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,5.0,
Cody Donovan,MALE,Light Heavyweight,32.0,Orthodox,190.5,187.96,205.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Conor McGregor,MALE,Featherweight,25.0,Southpaw,175.26,187.96,155.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Diego Brandao,MALE,Featherweight,26.0,Orthodox,170.18,172.72,145.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Joe Lauzon,MALE,Lightweight,29.0,Orthodox,177.8,180.34,155.0,9.0-5.0-0.0,5.0,0.0,9.0,0.0,0.0,0.0,,0.0,2.0,7.0,0.0,,
Manvel Gamburyan,MALE,Featherweight,32.0,Orthodox,165.1,170.18,135.0,3.0-5.0-0.0,5.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Matt Brown,MALE,Welterweight,32.0,Orthodox,182.88,190.5,170.0,10.0-5.0-0.0,5.0,0.0,10.0,0.0,2.0,0.0,,2.0,7.0,1.0,0.0,,
Mauricio Rua,MALE,Light Heavyweight,31.0,Orthodox,185.42,193.04,205.0,5.0-5.0-0.0,5.0,0.0,5.0,0.0,0.0,0.0,,0.0,5.0,0.0,0.0,8.0,
Mike Brown,MALE,Featherweight,37.0,Orthodox,167.64,177.8,145.0,2.0-3.0-0.0,3.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Ramsey Nijem,MALE,Lightweight,25.0,Orthodox,180.34,190.5,155.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,2.0,0.0,,2.0,1.0,0.0,0.0,,
Uriah Hall,MALE,Middleweight,29.0,Orthodox,182.88,200.66,185.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Urijah Faber,MALE,Bantamweight,34.0,Orthodox,167.64,170.18,135.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,0.0,3.0,0.0,2.0,
Brad Tavares,MALE,Middleweight,25.0,Orthodox,185.42,187.96,185.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,3.0,0.0,,3.0,1.0,0.0,0.0,,
Carlos Condit,MALE,Welterweight,29.0,Orthodox,187.96,190.5,170.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,1.0,0.0,,1.0,3.0,0.0,0.0,2.0,
Court McGee,MALE,Welterweight,28.0,Orthodox,180.34,190.5,170.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,,
Darren Elkins,MALE,Featherweight,29.0,Orthodox,177.8,180.34,145.0,6.0-2.0-0.0,2.0,0.0,6.0,0.0,4.0,0.0,,4.0,2.0,0.0,0.0,,
Donald Cerrone,MALE,Lightweight,30.0,Orthodox,185.42,185.42,155.0,7.0-2.0-0.0,2.0,0.0,7.0,0.0,3.0,0.0,,3.0,2.0,2.0,0.0,6.0,
Dylan Andrews,MALE,Middleweight,33.0,Switch,185.42,185.42,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
James Head,MALE,Welterweight,29.0,Orthodox,185.42,185.42,170.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Justin Edwards,MALE,Welterweight,30.0,Orthodox,177.8,177.8,155.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
Kelvin Gastelum,MALE,Welterweight,21.0,Southpaw,175.26,180.34,185.0,1.0-0.0-0.0,0.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Takeya Mizugaki,MALE,Bantamweight,29.0,Orthodox,170.18,172.72,135.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Zak Cummings,MALE,Welterweight,29.0,Southpaw,182.88,190.5,185.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Ben Rothwell,MALE,Heavyweight,31.0,Orthodox,193.04,198.12,265.0,2.0-3.0-0.0,3.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Benson Henderson,MALE,Lightweight,29.0,Southpaw,175.26,177.8,170.0,7.0-0.0-0.0,0.0,0.0,7.0,0.0,5.0,0.0,,5.0,0.0,0.0,0.0,0.0,6.0
Chad Mendes,MALE,Featherweight,28.0,Orthodox,167.64,167.64,145.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,2.0,0.0,,2.0,3.0,0.0,0.0,1.0,
Chico Camus,MALE,Bantamweight,28.0,Orthodox,167.64,167.64,125.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Erik Koch,MALE,Featherweight,24.0,Southpaw,177.8,180.34,155.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,10.0,
Frank Mir,MALE,Heavyweight,34.0,Southpaw,190.5,200.66,264.0,14.0-7.0-0.0,7.0,0.0,14.0,0.0,2.0,0.0,,2.0,3.0,8.0,0.0,6.0,
Jamie Varner,MALE,Lightweight,28.0,Orthodox,172.72,182.88,155.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,,
Jared Hamman,MALE,Middleweight,31.0,Orthodox,190.5,190.5,185.0,2.0-4.0-0.0,4.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Louis Gaudinot,MALE,Flyweight,29.0,Orthodox,160.02,160.02,125.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,7.0,
Pascal Krauss,MALE,Welterweight,26.0,Orthodox,185.42,182.88,170.0,2.0-1.0-0.0,1.0,0.0,2.0,0.0,2.0,0.0,,2.0,0.0,0.0,0.0,,
Ryan Couture,MALE,Lightweight,31.0,Orthodox,177.8,190.5,155.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Soa Palelei,MALE,Heavyweight,36.0,Orthodox,193.04,205.74,265.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Felipe Arantes,MALE,Featherweight,25.0,Orthodox,172.72,185.42,135.0,2.0-2.0-0.0,2.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Francisco Trinaldo,MALE,Lightweight,35.0,Southpaw,175.26,177.8,155.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,,
Glover Teixeira,MALE,Light Heavyweight,33.0,Orthodox,187.96,193.04,205.0,4.0-0.0-0.0,0.0,0.0,4.0,0.0,1.0,0.0,,1.0,0.0,2.0,1.0,3.0,
Joao Zeferino,MALE,Welterweight,27.0,Orthodox,180.34,185.42,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Joseph Benavidez,MALE,Flyweight,29.0,Southpaw,162.56,165.1,125.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,3.0,0.0,,3.0,2.0,0.0,0.0,1.0,
Keith Wisniewski,MALE,Welterweight,31.0,Orthodox,182.88,190.5,170.0,0.0-3.0-0.0,3.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Lucas Martins,MALE,Bantamweight,24.0,Southpaw,182.88,182.88,145.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Marcos Vinicius,MALE,Flyweight,33.0,Orthodox,175.26,177.8,125.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,
Rafael Natal,MALE,Middleweight,30.0,Orthodox,182.88,193.04,185.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,3.0,0.0,,3.0,0.0,1.0,0.0,,
Yuri Villefort,MALE,Welterweight,22.0,Orthodox,182.88,185.42,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Yushin Okami,MALE,Middleweight,32.0,Southpaw,187.96,190.5,170.0,13.0-4.0-0.0,4.0,0.0,13.0,0.0,6.0,0.0,,6.0,4.0,0.0,1.0,3.0,
Brendan Schaub,MALE,Heavyweight,30.0,Orthodox,193.04,198.12,245.0,5.0-3.0-0.0,3.0,0.0,5.0,0.0,2.0,0.0,,2.0,3.0,0.0,0.0,,
Chris Clements,MALE,Welterweight,37.0,Orthodox,177.8,177.8,170.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Costas Philippou,MALE,Middleweight,33.0,Orthodox,180.34,185.42,185.0,5.0-1.0-0.0,1.0,0.0,5.0,0.0,2.0,0.0,,2.0,2.0,0.0,0.0,7.0,
Ivan Menjivar,MALE,Bantamweight,31.0,Orthodox,167.64,162.56,145.0,4.0-3.0-0.0,3.0,0.0,4.0,0.0,1.0,0.0,,1.0,1.0,2.0,0.0,10.0,
John Makdessi,MALE,Lightweight,28.0,Orthodox,172.72,172.72,155.0,4.0-2.0-0.0,2.0,0.0,4.0,0.0,3.0,0.0,,3.0,1.0,0.0,0.0,,
Jon Jones,MALE,Light Heavyweight,26.0,Orthodox,193.04,213.36,205.0,12.0-1.0-0.0,1.0,0.0,12.0,0.0,3.0,0.0,,3.0,4.0,5.0,0.0,0.0,1.0
Michel Prazeres,MALE,Lightweight,32.0,Orthodox,167.64,170.18,170.0,0.0-1.0-0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Mike Ricci,MALE,Lightweight,27.0,Southpaw,182.88,195.58,155.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,1.0,0.0,,1.0,0.0,0.0,0.0,,
Mitch Gagnon,MALE,Bantamweight,28.0,Southpaw,165.1,165.1,135.0,1.0-1.0-0.0,1.0,0.0,1.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,,
Nandor Guelmino,MALE,Heavyweight,37.0,Orthodox,190.5,193.04,230.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Pat Healy,MALE,Lightweight,30.0,Orthodox,182.88,187.96,155.0,0.0-2.0-0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,10.0,
Renan Barao,MALE,Bantamweight,26.0,Orthodox,167.64,177.8,135.0,5.0-0.0-0.0,0.0,0.0,5.0,0.0,3.0,0.0,,3.0,0.0,2.0,0.0,1.0,7.0
Roland Delorme,MALE,Bantamweight,29.0,Orthodox,175.26,180.34,135.0,3.0-1.0-0.0,1.0,0.0,3.0,0.0,1.0,0.0,,1.0,0.0,2.0,0.0,,
Alan Patrick,MALE,Lightweight,30.0,Southpaw,180.34,187.96,155.0,0.0-0.0-0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,
Demian Maia,MALE,Welterweight,35.0,Southpaw,185.42,182.88,170.0,12.0-4.0-0.0,4.0,0.0,12.0,0.0,5.0,0.0,,5.0,1.0,6.0,0.0,4.0,
Erick Silva,MALE,Welterweight,29.0,Orthodox,182.88,187.96,170.0,3.0-2.0-0.0,2.0,0.0,3.0,0.0,0.0,0.0,,0.0,1.0,2.0,0.0,,
Fabio Maldonado,MALE,Light Heavyweight,33.0,Orthodox,185.42,190.5,205.0,2.0-3.0-0.0,3.0,0.0,2.0,0.0,1.0,0.0,,1.0,1.0,0.0,0.0,,
Ildemar Alcantara,MALE,Welterweight,30.0,Orthodox,187.96,198.12,185.0,2.0-0.0-0.0,0.0,0.0,2.0,0.0,1.0,0.0,,1.0,0.0,1.0,0.0,,
