date,event,referee,r_fighter,b_fighter,finish,totalfighttimesecs,finishround,heightdif,agedif,reachdif,r_odds,b_odds,r_avgkd,b_avgkd,r_avgsigstratt,b_avgsigstratt,r_avgsigstrlanded,b_avgsigstrlanded,r_avgtdatt,b_avgtdatt,r_avgtdlanded,b_avgtdlanded,r_avgsubatt,b_avgsubatt,r_avgctrltime,b_avgctrltime
2010-03-31,UFC Fight Night: Florian vs Gomi,Dale Frye,Yushin Okami,Lucio Linhares,KO/TKO,467.0,2.0,0.0,-8.0,-1.3,-650.0,475.0,0.25,0.0,112.46,27.0,29.11,8.0,0.35,2.0,1.89,2.0,0.89,2.0,197.46,111.0
2010-04-10,UFC 112: Invincible,Dan Miragliotta,Alexander Gustafsson,Phil Davis,SUB,295.0,1.0,-7.62,-2.0,0.0,350.0,-440.0,1.0,0.0,23.0,103.0,6.0,48.0,0.0,4.0,0.0,3.0,0.0,1.0,5.0,645.0
2010-04-10,UFC 112: Invincible,Dan Miragliotta,Anderson Silva,Demian Maia,U-DEC,1500.0,5.0,-2.54,2.0,-12.7,-675.0,550.0,1.62,0.0,55.91,43.59,30.2,12.29,0.15,4.41,0.2,1.57,0.3,1.29,69.44,182.69
2010-04-10,UFC 112: Invincible,Herb Dean,BJ Penn,Frankie Edgar,U-DEC,1500.0,5.0,-7.62,3.0,-5.08,-780.0,620.0,0.13,0.0,108.01,101.81,38.75,46.0,1.01,5.55,1.31,4.0,0.69,0.29,130.38,154.27
2010-04-10,UFC 112: Invincible,Dan Miragliotta,DaMarques Johnson,Brad Blackburn,KO/TKO,728.0,3.0,-7.62,-5.0,-5.08,140.0,-160.0,0.0,0.62,28.5,163.38,11.5,58.75,0.0,0.88,0.0,0.0,0.5,0.25,38.0,105.62
2010-04-10,UFC 112: Invincible,Marc Goddard,Jon Madsen,Mostapha Al-Turk,U-DEC,900.0,3.0,5.08,-6.0,12.7,-245.0,205.0,0.0,0.0,100.0,17.0,26.0,5.5,1.0,4.5,0.0,0.0,0.0,0.0,0.0,48.5
2010-04-10,UFC 112: Invincible,Marc Goddard,Kendall Grove,Mark Munoz,KO/TKO,470.0,2.0,-15.24,-5.0,-17.78,160.0,-170.0,0.12,0.0,29.91,48.75,20.89,27.67,0.53,4.5,0.33,1.0,1.44,0.67,54.0,103.75
2010-04-10,UFC 112: Invincible,Herb Dean,Matt Hughes,Renzo Gracie,KO/TKO,880.0,3.0,2.54,-7.0,-7.62,-380.0,340.0,0.0,,38.22,,21.05,,5.07,,2.24,,0.71,,354.13,
2010-04-10,UFC 112: Invincible,Marc Goddard,Nick Osipczak,Rick Story,S-DEC,900.0,3.0,-12.7,0.0,-12.7,145.0,-165.0,0.0,0.0,65.5,117.5,30.0,28.67,0.5,3.5,0.5,3.0,1.0,2.33,193.0,258.75
2010-04-10,UFC 112: Invincible,Herb Dean,Paul Kelly,Matt Veach,SUB,521.0,2.0,5.08,-3.0,-1.27,220.0,-260.0,0.0,0.5,96.44,35.5,37.6,9.5,2.75,6.0,1.6,2.0,0.6,0.0,241.75,102.0
2010-04-10,UFC 112: Invincible,Marc Goddard,Terry Etim,Rafael Dos Anjos,SUB,570.0,2.0,-12.7,-1.0,-7.62,-135.0,125.0,0.16,0.0,60.95,116.25,25.43,32.25,0.27,7.88,0.14,2.75,1.14,1.75,50.14,352.25
2010-05-08,UFC 113: Machida vs Shogun 2,Dan Miragliotta,Jason MacDonald,John Salter,KO/TKO,162.0,1.0,-5.08,9.0,-15.24,-175.0,155.0,0.0,0.0,8.79,72.0,12.2,7.0,2.19,4.0,0.8,1.0,1.0,0.0,96.01,88.0
2010-05-08,UFC 113: Machida vs Shogun 2,Mario Yamasaki,Joey Beltran,Tim Hague,U-DEC,900.0,3.0,7.62,2.0,2.54,190.0,-230.0,0.0,0.0,49.0,36.5,22.0,11.33,0.0,0.75,0.0,0.67,0.0,0.67,84.0,138.0
2010-05-08,UFC 113: Machida vs Shogun 2,Dan Miragliotta,Josh Koscheck,Paul Daley,U-DEC,900.0,3.0,-2.54,5.0,7.62,-250.0,230.0,0.32,0.5,41.21,41.5,17.69,17.5,2.26,0.0,1.81,0.0,0.38,0.0,137.1,1.5
2010-05-08,UFC 113: Machida vs Shogun 2,Dan Miragliotta,Kevin Ferguson,Matt Mitrione,KO/TKO,564.0,2.0,2.54,5.0,5.08,-103.0,-107.0,0.0,1.0,66.0,34.0,27.0,14.0,4.0,0.0,4.0,0.0,1.0,0.0,199.0,63.0
2010-05-08,UFC 113: Machida vs Shogun 2,Yves Lavigne,Lyoto Machida,Mauricio Rua,KO/TKO,215.0,1.0,0.0,3.0,5.08,-190.0,175.0,1.11,0.5,78.67,103.12,43.5,48.25,1.02,4.0,1.12,1.5,0.88,0.5,72.31,150.0
2010-05-08,UFC 113: Machida vs Shogun 2,Philippe Chartier,Marcus Davis,Jonathan Goulet,KO/TKO,383.0,2.0,5.08,6.0,7.62,-440.0,350.0,0.02,0.5,49.28,24.05,23.0,9.5,2.88,1.11,0.92,1.25,0.92,0.25,134.44,45.63
2010-05-08,UFC 113: Machida vs Shogun 2,Mario Yamasaki,Patrick Cote,Alan Belcher,SUB,505.0,2.0,7.62,4.0,5.08,107.0,-117.0,0.2,0.75,49.82,78.26,22.0,26.5,1.74,0.06,0.22,0.3,0.11,0.4,57.32,31.58
2010-05-08,UFC 113: Machida vs Shogun 2,Mario Yamasaki,Sam Stout,Jeremy Stephens,S-DEC,900.0,3.0,-2.54,3.0,2.54,-190.0,175.0,0.25,1.08,235.4,46.04,53.75,24.75,0.19,0.28,0.12,0.75,0.0,0.38,125.06,75.12
2010-05-08,UFC 113: Machida vs Shogun 2,Marc-Andre Cote,TJ Grant,Johny Hendricks,M-DEC,900.0,3.0,-2.54,0.0,-7.62,325.0,-400.0,0.5,0.5,50.0,49.0,28.0,28.0,3.75,7.0,1.67,3.5,0.0,2.0,158.5,300.0
2010-05-08,UFC 113: Machida vs Shogun 2,Yves Lavigne,Tom Lawlor,Joe Doerksen,SUB,430.0,2.0,0.0,-6.0,2.54,-600.0,450.0,0.0,0.12,69.75,19.66,22.0,10.33,7.75,3.47,2.67,2.0,1.0,1.83,249.0,171.34
2010-05-08,UFC 113: Machida vs Shogun 2,Philippe Chartier,Yoshiyuki Yoshida,Mike Guymon,U-DEC,900.0,3.0,2.54,0.0,10.16,-255.0,215.0,0.0,0.0,4.5,18.0,2.75,6.0,0.12,3.0,0.25,0.0,0.5,0.0,21.5,8.0
2010-05-29,UFC 114: Rampage vs Evans,Steve Mazzagatti,Aaron Riley,Joe Brammer,U-DEC,900.0,3.0,0.0,3.0,2.54,-200.0,170.0,0.0,0.0,86.78,19.0,38.5,3.0,2.53,0.0,0.83,0.0,0.17,0.0,141.41,5.0
2010-05-29,UFC 114: Rampage vs Evans,Steve Mazzagatti,Amir Sadollah,Dong Hyun Kim,U-DEC,900.0,3.0,10.16,1.0,5.08,100.0,-110.0,0.0,0.0,138.25,53.25,56.25,34.25,1.25,6.12,0.5,3.0,0.5,1.0,233.5,508.25
2010-05-29,UFC 114: Rampage vs Evans,Herb Dean,Diego Sanchez,John Hathaway,U-DEC,900.0,3.0,7.62,6.0,7.62,-215.0,195.0,0.38,0.0,124.51,104.25,33.54,43.0,15.2,7.25,1.38,4.67,1.0,1.0,233.3,566.25
2010-05-29,UFC 114: Rampage vs Evans,Josh Rosenthal,Efrain Escudero,Dan Lauzon,U-DEC,900.0,3.0,2.54,2.0,5.2,-400.0,355.0,0.75,0.5,56.25,24.5,21.0,9.0,2.75,3.0,2.67,1.5,0.67,0.0,227.25,132.5
2010-05-29,UFC 114: Rampage vs Evans,Yves Lavigne,Jason Brilz,Rogerio Nogueira,S-DEC,900.0,3.0,7.62,1.0,10.16,435.0,-500.0,0.0,1.0,116.88,28.0,41.25,14.0,8.12,0.0,2.0,0.0,0.75,0.0,386.62,2.0
2010-05-29,UFC 114: Rampage vs Evans,Josh Rosenthal,Jesse Forbes,Ryan Jensen,SUB,66.0,1.0,-2.54,-7.0,2.54,-150.0,130.0,0.0,0.0,90.5,23.06,20.5,12.2,0.5,1.5,0.0,0.6,0.0,0.6,34.0,73.0
2010-05-29,UFC 114: Rampage vs Evans,Herb Dean,Luiz Cane,Cyrille Diabate,KO/TKO,133.0,1.0,10.16,-7.0,10.16,-310.0,255.0,0.31,,75.5,,31.0,,0.31,,0.2,,0.0,,9.0,
2010-05-29,UFC 114: Rampage vs Evans,Yves Lavigne,Melvin Guillard,Waylon Lowe,KO/TKO,208.0,1.0,-5.08,-2.0,-7.72,-370.0,310.0,0.39,,59.46,,13.4,,1.31,,1.3,,0.1,,63.32,
2010-05-29,UFC 114: Rampage vs Evans,Steve Mazzagatti,Michael Bisping,Dan Miller,U-DEC,900.0,3.0,0.0,3.0,-2.54,-195.0,180.0,0.02,0.0,117.75,56.62,36.36,12.4,5.65,0.44,1.64,1.2,0.45,1.2,52.12,51.56
2010-05-29,UFC 114: Rampage vs Evans,Herb Dean,Rampage Jackson,Rashad Evans,,,,-2.54,1.0,5.08,-109.0,-101.0,1.5,0.07,107.06,58.46,40.33,22.36,2.09,8.83,0.67,3.73,0.0,0.0,149.53,253.43
2010-05-29,UFC 114: Rampage vs Evans,Josh Rosenthal,Todd Duffee,Mike Russow,KO/TKO,755.0,3.0,-5.08,-9.0,-15.24,-275.0,250.0,1.0,0.0,5.0,36.0,4.0,21.0,0.0,11.0,0.0,8.0,0.0,2.0,4.0,684.0
2010-06-12,UFC 115: Liddell vs Franklin,Yves Lavigne,Ben Rothwell,Gilbert Yvel,U-DEC,900.0,3.0,-5.08,-5.0,-2.54,170.0,-185.0,0.0,0.0,21.0,18.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2010-06-12,UFC 115: Liddell vs Franklin,Kevin Dornan,Carlos Condit,Rory MacDonald,KO/TKO,893.0,3.0,-5.08,6.0,2.54,118.0,-128.0,0.0,0.0,78.0,19.0,31.0,8.0,3.0,3.0,2.0,2.0,2.0,2.0,214.0,170.0
2010-06-12,UFC 115: Liddell vs Franklin,Herb Dean,Chuck Liddell,Rich Franklin,KO/TKO,295.0,1.0,-2.54,5.0,-2.54,-119.0,109.0,0.04,0.1,64.76,71.24,27.0,41.56,0.75,1.06,0.27,0.75,0.0,0.12,20.81,39.85
2010-06-12,UFC 115: Liddell vs Franklin,Tony Williamson,David Loiseau,Mario Miranda,KO/TKO,547.0,2.0,7.62,0.0,-5.08,205.0,-245.0,0.19,1.0,38.67,40.0,20.5,16.0,0.41,0.0,0.38,0.0,0.12,0.0,72.15,40.0
2010-06-12,UFC 115: Liddell vs Franklin,Kevin Dornan,James Wilks,Peter Sobotta,U-DEC,900.0,3.0,-2.54,9.0,0.0,-325.0,265.0,0.0,0.0,41.0,39.0,18.0,18.0,6.0,7.0,1.5,2.0,5.5,0.0,253.5,128.0
2010-06-12,UFC 115: Liddell vs Franklin,Yves Lavigne,Mac Danzig,Matt Wiman,SUB,105.0,1.0,5.08,4.0,-5.08,-102.0,-108.0,0.16,0.06,95.44,102.5,34.5,29.38,3.41,6.03,1.0,2.0,0.67,1.25,185.66,264.69
2010-06-12,UFC 115: Liddell vs Franklin,Kevin Dornan,Mike Pyle,Jesse Lennox,SUB,884.0,3.0,-7.62,6.0,-5.08,110.0,-130.0,0.0,0.0,15.25,121.0,6.0,29.5,2.0,2.0,0.67,1.0,1.0,0.5,94.0,65.0
2010-06-12,UFC 115: Liddell vs Franklin,Yves Lavigne,Mirko Filipovic,Pat Barry,,,,-7.62,5.0,2.54,163.0,-173.0,0.16,0.5,51.5,38.0,17.17,12.67,0.44,0.0,0.33,0.0,0.17,0.0,122.72,44.25
2010-06-12,UFC 115: Liddell vs Franklin,Herb Dean,Paulo Thiago,Martin Kampmann,U-DEC,900.0,3.0,2.54,1.0,-2.54,-218.0,198.0,1.12,0.57,36.12,38.12,13.75,25.0,1.25,1.21,0.5,0.89,1.5,1.44,108.12,131.29
2010-06-12,UFC 115: Liddell vs Franklin,Tony Williamson,Ricardo Funch,Claude Patrick,SUB,408.0,2.0,2.54,0.0,-2.54,215.0,-255.0,0.0,,26.0,,16.0,,6.0,,1.0,,0.0,,130.0,
2010-06-12,UFC 115: Liddell vs Franklin,Herb Dean,Tyson Griffin,Evan Dunham,S-DEC,900.0,3.0,10.16,-2.0,5.08,-180.0,168.0,0.5,0.5,174.57,87.0,53.22,31.0,1.64,2.25,1.33,1.33,0.89,0.67,87.09,128.0
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Herb Dean,Brad Tavares,Seth Baczynski,U-DEC,900.0,3.0,5.08,-6.0,0.0,-220.0,180.0,,,,,,,,,,,,,,
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Josh Rosenthal,Chris Camozzi,James Hammortree,U-DEC,900.0,3.0,2.54,-3.0,-1.27,-160.0,140.0,,,,,,,,,,,,,,
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Josh Rosenthal,Chris Leben,Aaron Simpson,KO/TKO,557.0,2.0,2.54,-6.0,-2.54,280.0,-310.0,0.1,0.5,89.62,73.25,26.79,25.67,2.13,4.0,1.07,2.0,0.29,0.0,383.75,197.0
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Steve Mazzagatti,Court McGee,Kris McCray,SUB,521.0,2.0,2.54,-3.0,2.54,-220.0,180.0,,,,,,,,,,,,,,
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Kim Winslow,James McSweeney,Travis Browne,KO/TKO,272.0,1.0,5.08,2.0,5.08,165.0,-190.0,0.0,,95.0,,58.0,,2.0,,1.0,,2.0,,438.0,
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Steve Mazzagatti,Jamie Yager,Rich Attonito,KO/TKO,565.0,2.0,-7.62,-7.0,-2.12,120.0,-140.0,,,,,,,,,,,,,,
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Josh Rosenthal,John Gunderson,Mark Holst,U-DEC,900.0,3.0,7.62,7.0,14.74,-200.0,170.0,0.0,,30.0,,1.0,,1.0,,1.0,,4.0,,22.0,
2010-06-19,The Ultimate Fighter: Team Liddell vs Team Ortiz Finale,Kim Winslow,Josh Bryant,Kyle Noke,KO/TKO,492.0,2.0,7.62,0.0,7.62,155.0,-175.0,,,,,,,,,,,,,,
