r_fighter,b_fighter,date,month,year,gender,location,city,state,country,finish,finishdetails,finishround,totalfighttimesecs,titlebout,weightclass,numberofrounds,emptyarena,heightdif,agedif,reachdif,r_odds,r_age,r_stance,r_heightcms,r_reachcms,r_weightlbs,b_odds,b_age,b_stance,b_heightcms,b_reachcms,b_weightlbs,r_matchwcrank,r_pfprank,b_matchwcrank,b_pfprank
Ricardo Almeida,Matt Brown,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,SUB,Rear Naked Choke,2.0,510.0,False,Welterweight,3.0,0.0,0.0,4.0,2.54,-185.0,33.0,Orthodox,182.88,187.96,170.0,160.0,29.0,Orthodox,182.88,190.5,170.0,,,,
Rodney Wallace,Jared Hamman,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,U-DEC,,3.0,900.0,False,Light Heavyweight,3.0,0.0,15.24,0.0,7.62,-160.0,28.0,Switch,175.26,182.88,205.0,140.0,28.0,Orthodox,190.5,190.5,185.0,,,,
Rousimar Palhares,Tomasz Drwal,2010-03-27,3,2010,MALE,"Newark, New Jersey, USA",Newark,New Jersey,USA,SUB,Heel Hook,1.0,45.0,False,Middleweight,3.0,0.0,12.7,2.0,12.7,-220.0,30.0,Orthodox,172.72,180.34,170.0,180.0,28.0,Orthodox,185.42,193.04,205.0,,,,
Andre Winner,Rafaello Oliveira,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,U-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,-7.62,0.0,-5.08,-190.0,28.0,Orthodox,180.34,185.42,155.0,165.0,28.0,Orthodox,172.72,180.34,155.0,,,,
Caol Uno,Gleison Tibau,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,KO/TKO,Punches,1.0,253.0,False,Lightweight,3.0,0.0,7.62,8.0,2.54,270.0,34.0,Southpaw,170.18,177.8,155.0,-330.0,26.0,Southpaw,177.8,180.34,155.0,,,,
Charlie Brenneman,Jason High,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,-5.08,1.0,-2.54,173.0,29.0,Orthodox,177.8,182.88,155.0,-205.0,28.0,Southpaw,172.72,180.34,155.0,,,,
Gerald Harris,Mario Miranda,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,KO/TKO,Punches,1.0,289.0,False,Middleweight,3.0,0.0,10.16,0.0,-7.62,-155.0,30.0,Southpaw,180.34,195.58,185.0,135.0,30.0,Orthodox,190.5,187.96,185.0,,,,
Jacob Volkmann,Ronys Torres,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,S-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,-5.08,-5.0,-0.04,190.0,29.0,Southpaw,175.26,180.34,155.0,-230.0,34.0,Orthodox,170.18,180.3,155.0,,,,
Kenny Florian,Takanori Gomi,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,SUB,Rear Naked Choke,3.0,772.0,False,Lightweight,3.0,0.0,-7.62,2.0,-10.16,-360.0,33.0,Southpaw,177.8,187.96,145.0,300.0,31.0,Southpaw,170.18,177.8,155.0,,,,
Nate Quarry,Jorge Rivera,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,KO/TKO,Punches,2.0,329.0,False,Middleweight,3.0,0.0,2.54,0.0,2.54,-230.0,38.0,Open Stance,182.88,182.88,185.0,190.0,38.0,Orthodox,185.42,185.42,185.0,,,,
Rob Emerson,Nik Lentz,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,U-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,-2.54,3.0,-5.08,130.0,28.0,Orthodox,175.26,177.8,155.0,-150.0,25.0,Orthodox,172.72,172.72,155.0,,,,
Ross Pearson,Dennis Siver,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,U-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,-5.08,-6.0,2.54,-220.0,25.0,Orthodox,172.72,175.26,155.0,180.0,31.0,Orthodox,167.64,177.8,145.0,,,,
Roy Nelson,Stefan Struve,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,KO/TKO,Punch,1.0,39.0,False,Heavyweight,3.0,0.0,27.94,11.0,30.48,-350.0,33.0,Orthodox,182.88,182.88,263.0,290.0,22.0,Orthodox,210.82,213.36,265.0,,,,
Yushin Okami,Lucio Linhares,2010-03-31,3,2010,MALE,"Charlotte, North Carolina, USA",Charlotte,North Carolina,USA,KO/TKO,,2.0,467.0,False,Middleweight,3.0,0.0,0.0,-8.0,-1.3,-650.0,28.0,Southpaw,187.96,190.5,170.0,475.0,36.0,Orthodox,187.96,189.2,185.0,,,,
Alexander Gustafsson,Phil Davis,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,SUB,Anaconda Choke,1.0,295.0,False,Light Heavyweight,3.0,0.0,-7.62,-2.0,0.0,350.0,23.0,Orthodox,195.58,200.66,205.0,-440.0,25.0,Orthodox,187.96,200.66,205.0,,,,
Anderson Silva,Demian Maia,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,U-DEC,,5.0,1500.0,True,Middleweight,5.0,0.0,-2.54,2.0,-12.7,-675.0,34.0,Southpaw,187.96,195.58,185.0,550.0,32.0,Southpaw,185.42,182.88,170.0,,,,
BJ Penn,Frankie Edgar,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,U-DEC,,5.0,1500.0,True,Lightweight,5.0,0.0,-7.62,3.0,-5.08,-780.0,31.0,Orthodox,175.26,177.8,155.0,620.0,28.0,Orthodox,167.64,172.72,145.0,,,,
DaMarques Johnson,Brad Blackburn,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,KO/TKO,Kick,3.0,728.0,False,Welterweight,3.0,0.0,-7.62,-5.0,-5.08,140.0,27.0,Orthodox,185.42,190.5,170.0,-160.0,32.0,Orthodox,177.8,185.42,170.0,,,,
Jon Madsen,Mostapha Al-Turk,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,U-DEC,,3.0,900.0,False,Heavyweight,3.0,0.0,5.08,-6.0,12.7,-245.0,30.0,Orthodox,182.88,182.88,240.0,205.0,36.0,Orthodox,187.96,195.58,245.0,,,,
Kendall Grove,Mark Munoz,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,KO/TKO,Punches,2.0,470.0,False,Middleweight,3.0,0.0,-15.24,-5.0,-17.78,160.0,27.0,Orthodox,198.12,200.66,185.0,-170.0,32.0,Orthodox,182.88,182.88,185.0,,,,
Matt Hughes,Renzo Gracie,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,KO/TKO,Punches,3.0,880.0,False,Welterweight,3.0,0.0,2.54,-7.0,-7.62,-380.0,36.0,Switch,175.26,185.42,170.0,340.0,43.0,Orthodox,177.8,177.8,185.0,,,,
Nick Osipczak,Rick Story,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,S-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,-12.7,0.0,-12.7,145.0,25.0,Orthodox,187.96,193.04,170.0,-165.0,25.0,Southpaw,175.26,180.34,170.0,,,,
Paul Kelly,Matt Veach,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,SUB,Guillotine Choke,2.0,521.0,False,Lightweight,3.0,0.0,5.08,-3.0,-1.27,220.0,25.0,Orthodox,175.26,177.8,155.0,-260.0,28.0,Orthodox,180.34,176.53,155.0,,,,
Terry Etim,Rafael Dos Anjos,2010-04-10,4,2010,MALE,"Abu Dhabi, United Arab Emirates",Abu Dhabi,,United Arab Emirates,SUB,Armbar,2.0,570.0,False,Lightweight,3.0,0.0,-12.7,-1.0,-7.62,-135.0,24.0,Orthodox,185.42,185.42,155.0,125.0,25.0,Southpaw,172.72,177.8,170.0,,,,
Jason MacDonald,John Salter,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,KO/TKO,,1.0,162.0,False,Middleweight,3.0,0.0,-5.08,9.0,-15.24,-175.0,34.0,Orthodox,190.5,203.2,185.0,155.0,25.0,Southpaw,185.42,187.96,185.0,,,,
Joey Beltran,Tim Hague,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,U-DEC,,3.0,900.0,False,Heavyweight,3.0,0.0,7.62,2.0,2.54,190.0,28.0,Orthodox,185.42,190.5,185.0,-230.0,26.0,Orthodox,193.04,193.04,260.0,,,,
Josh Koscheck,Paul Daley,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,-2.54,5.0,7.62,-250.0,32.0,Orthodox,177.8,185.42,170.0,230.0,27.0,Orthodox,175.26,193.04,170.0,,,,
Kevin Ferguson,Matt Mitrione,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,KO/TKO,Punches,2.0,564.0,False,Heavyweight,3.0,0.0,2.54,5.0,5.08,-103.0,36.0,Orthodox,187.96,195.58,235.0,-107.0,31.0,Switch,190.5,200.66,265.0,,,,
Lyoto Machida,Mauricio Rua,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,KO/TKO,Punches,1.0,215.0,True,Light Heavyweight,5.0,0.0,0.0,3.0,5.08,-190.0,31.0,Southpaw,185.42,187.96,185.0,175.0,28.0,Orthodox,185.42,193.04,205.0,,,,
Marcus Davis,Jonathan Goulet,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,KO/TKO,Punches,2.0,383.0,False,Welterweight,3.0,0.0,5.08,6.0,7.62,-440.0,36.0,Southpaw,177.8,177.8,170.0,350.0,30.0,Orthodox,182.88,185.42,170.0,,,,
Patrick Cote,Alan Belcher,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,SUB,Rear Naked Choke,2.0,505.0,False,Middleweight,3.0,0.0,7.62,4.0,5.08,107.0,30.0,Orthodox,180.34,180.34,170.0,-117.0,26.0,Orthodox,187.96,185.42,185.0,,,,
Sam Stout,Jeremy Stephens,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,S-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,-2.54,3.0,2.54,-190.0,26.0,Orthodox,175.26,177.8,155.0,175.0,23.0,Orthodox,172.72,180.34,145.0,,,,
TJ Grant,Johny Hendricks,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,M-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,-2.54,0.0,-7.62,325.0,26.0,Orthodox,177.8,182.88,155.0,-400.0,26.0,Southpaw,175.26,175.26,185.0,,,,
Tom Lawlor,Joe Doerksen,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,SUB,Rear Naked Choke,2.0,430.0,False,Middleweight,3.0,0.0,0.0,-6.0,2.54,-600.0,26.0,Southpaw,182.88,187.96,205.0,450.0,32.0,Orthodox,182.88,190.5,185.0,,,,
Yoshiyuki Yoshida,Mike Guymon,2010-05-08,5,2010,MALE,"Montreal, Quebec, Canada",Montreal,Quebec,Canada,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,2.54,0.0,10.16,-255.0,35.0,Southpaw,180.34,177.8,170.0,215.0,35.0,Orthodox,182.88,187.96,170.0,,,,
Aaron Riley,Joe Brammer,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,0.0,3.0,2.54,-200.0,29.0,Southpaw,172.72,175.26,155.0,170.0,26.0,Orthodox,172.72,177.8,155.0,,,,
Amir Sadollah,Dong Hyun Kim,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,10.16,1.0,5.08,100.0,29.0,Orthodox,177.8,187.96,170.0,-110.0,28.0,Southpaw,187.96,193.04,170.0,,,,
Diego Sanchez,John Hathaway,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,7.62,6.0,7.62,-215.0,28.0,Southpaw,177.8,182.88,170.0,195.0,22.0,Orthodox,185.42,190.5,170.0,,,,
Efrain Escudero,Dan Lauzon,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,2.54,2.0,5.2,-400.0,24.0,Orthodox,175.26,177.8,155.0,355.0,22.0,Orthodox,177.8,183.0,155.0,,,,
Jason Brilz,Rogerio Nogueira,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,S-DEC,,3.0,900.0,False,Light Heavyweight,3.0,0.0,7.62,1.0,10.16,435.0,34.0,Orthodox,180.34,180.34,205.0,-500.0,33.0,Southpaw,187.96,190.5,205.0,,,,
Jesse Forbes,Ryan Jensen,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,SUB,Guillotine Choke,1.0,66.0,False,Middleweight,3.0,0.0,-2.54,-7.0,2.54,-150.0,25.0,Southpaw,187.96,190.5,185.0,130.0,32.0,Orthodox,185.42,193.04,185.0,,,,
Luiz Cane,Cyrille Diabate,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punches,1.0,133.0,False,Light Heavyweight,3.0,0.0,10.16,-7.0,10.16,-310.0,29.0,Southpaw,187.96,195.58,185.0,255.0,36.0,Southpaw,198.12,205.74,205.0,,,,
Melvin Guillard,Waylon Lowe,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Knee,1.0,208.0,False,Lightweight,3.0,0.0,-5.08,-2.0,-7.72,-370.0,27.0,Orthodox,175.26,172.72,155.0,310.0,29.0,Southpaw,170.18,165.0,145.0,,,,
Michael Bisping,Dan Miller,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Middleweight,3.0,0.0,0.0,3.0,-2.54,-195.0,31.0,Orthodox,185.42,190.5,185.0,180.0,28.0,Orthodox,185.42,187.96,185.0,,,,
Rampage Jackson,Rashad Evans,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,,,,,False,Light Heavyweight,3.0,0.0,-2.54,1.0,5.08,-109.0,31.0,Orthodox,185.42,185.42,205.0,-101.0,30.0,Orthodox,182.88,190.5,205.0,,,,
Todd Duffee,Mike Russow,2010-05-29,5,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punch,3.0,755.0,False,Heavyweight,3.0,0.0,-5.08,-9.0,-15.24,-275.0,24.0,Orthodox,190.5,200.66,260.0,250.0,33.0,Orthodox,185.42,185.42,255.0,,,,
Ben Rothwell,Gilbert Yvel,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,U-DEC,,3.0,900.0,False,Heavyweight,3.0,0.0,-5.08,-5.0,-2.54,170.0,28.0,Orthodox,193.04,198.12,265.0,-185.0,33.0,Orthodox,187.96,195.58,225.0,,,,
Carlos Condit,Rory MacDonald,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,KO/TKO,Punches,3.0,893.0,False,Welterweight,3.0,0.0,-5.08,6.0,2.54,118.0,26.0,Orthodox,187.96,190.5,170.0,-128.0,20.0,Orthodox,182.88,193.04,170.0,,,,
Chuck Liddell,Rich Franklin,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,KO/TKO,Punch,1.0,295.0,False,Light Heavyweight,3.0,0.0,-2.54,5.0,-2.54,-119.0,40.0,Orthodox,187.96,193.04,205.0,109.0,35.0,Southpaw,185.42,190.5,185.0,,,,
David Loiseau,Mario Miranda,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,KO/TKO,Elbows,2.0,547.0,False,Middleweight,3.0,0.0,7.62,0.0,-5.08,205.0,30.0,Orthodox,182.88,193.04,185.0,-245.0,30.0,Orthodox,190.5,187.96,185.0,,,,
James Wilks,Peter Sobotta,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,-2.54,9.0,0.0,-325.0,32.0,Orthodox,185.42,190.5,170.0,265.0,23.0,Southpaw,182.88,190.5,170.0,,,,
Mac Danzig,Matt Wiman,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,SUB,Guillotine Choke,1.0,105.0,False,Lightweight,3.0,0.0,5.08,4.0,-5.08,-102.0,30.0,Orthodox,172.72,177.8,155.0,-108.0,26.0,Orthodox,177.8,172.72,155.0,,,,
Mike Pyle,Jesse Lennox,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,SUB,Triangle Choke,3.0,884.0,False,Welterweight,3.0,0.0,-7.62,6.0,-5.08,110.0,34.0,Orthodox,182.88,187.96,170.0,-130.0,28.0,Orthodox,175.26,182.88,170.0,,,,
Mirko Cro Cop,Pat Barry,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,,,,,False,Heavyweight,3.0,0.0,-7.62,5.0,2.54,163.0,35.0,Southpaw,187.96,185.42,230.0,-173.0,30.0,Orthodox,180.34,187.96,235.0,,,,
Paulo Thiago,Martin Kampmann,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,U-DEC,,3.0,900.0,False,Welterweight,3.0,0.0,2.54,1.0,-2.54,-218.0,29.0,Orthodox,180.34,185.42,170.0,198.0,28.0,Orthodox,182.88,182.88,170.0,,,,
Ricardo Funch,Claude Patrick,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,SUB,Guillotine Choke,2.0,408.0,False,Welterweight,3.0,0.0,2.54,0.0,-2.54,215.0,29.0,Southpaw,177.8,193.04,170.0,-255.0,29.0,Orthodox,180.34,190.5,170.0,,,,
Tyson Griffin,Evan Dunham,2010-06-12,6,2010,MALE,"Vancouver, British Columbia, Canada",Vancouver,British Columbia,Canada,S-DEC,,3.0,900.0,False,Lightweight,3.0,0.0,10.16,-2.0,5.08,-180.0,26.0,Orthodox,167.64,172.72,145.0,168.0,28.0,Southpaw,177.8,177.8,155.0,,,,
Brad Tavares,Seth Baczynski,2010-06-19,6,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Middleweight,3.0,0.0,5.08,-6.0,0.0,-220.0,22.0,Orthodox,185.42,187.96,185.0,180.0,28.0,Orthodox,190.5,187.96,170.0,,,,
Chris Camozzi,James Hammortree,2010-06-19,6,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,U-DEC,,3.0,900.0,False,Middleweight,3.0,0.0,2.54,-3.0,-1.27,-160.0,23.0,Orthodox,187.96,193.04,185.0,140.0,26.0,Orthodox,190.5,191.77,185.0,,,,
Chris Leben,Aaron Simpson,2010-06-19,6,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punches,2.0,557.0,False,Middleweight,3.0,0.0,2.54,-6.0,-2.54,280.0,29.0,Southpaw,180.34,187.96,185.0,-310.0,35.0,Orthodox,182.88,185.42,170.0,,,,
Court McGee,Kris McCray,2010-06-19,6,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,SUB,Rear Naked Choke,2.0,521.0,True,Middleweight,3.0,0.0,2.54,-3.0,2.54,-220.0,25.0,Orthodox,180.34,190.5,170.0,180.0,28.0,Orthodox,182.88,193.04,170.0,,,,
James McSweeney,Travis Browne,2010-06-19,6,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punches,1.0,272.0,False,Heavyweight,3.0,0.0,5.08,2.0,5.08,165.0,29.0,Switch,193.04,195.58,230.0,-190.0,27.0,Orthodox,198.12,200.66,255.0,,,,
Jamie Yager,Rich Attonito,2010-06-19,6,2010,MALE,"Las Vegas, Nevada, USA",Las Vegas,Nevada,USA,KO/TKO,Punches,2.0,565.0,False,Middleweight,3.0,0.0,-7.62,-7.0,-2.12,120.0,26.0,Orthodox,185.42,185.0,185.0,-140.0,33.0,Orthodox,177.8,182.88,170.0,,,,
